sentence1,sentence2,label,idx,llama_predict,llama_prediction
"Taha is married to former Iraqi oil minister Amir Muhammed Rasheed , who surrendered to U.S. forces on April 28 .","Taha 's husband , former oil minister Amer Mohammed Rashid , surrendered to U.S. forces on April 28 .",1,39,paraphrase,1
Cisco pared spending during the quarter to compensate for sluggish sales .,"In response to sluggish sales , Cisco pared spending .",1,40,paraphrase,1
"Seven 20- and 21-year-old cadets were ticketed by police for drinking alcohol in an off-campus hotel room early Saturday with two young women , aged 16 and 18 .","Seven 20- and 21-year-old male cadets were caught in an off-campus hotel room early Saturday with two female teens , 16 and 18 years .",1,41,paraphrase,1
"Dixon 's win moved him into second place in the points standings , 49 behind Kanaan .",""" It 's always fun to come to Colorado , "" said Dixon , who moved into second in the IRL standings behind Kanaan .",0,42,non-paraphrase,0
"Last year , Congress passed similar , though less expensive , buyout legislation for peanut farmers , ending that Depression-era program .","Last year , Congress passed similar , though less expensive , buyout legislation for peanut farmers to end that program that also dated from the Depression years .",1,43,paraphrase,1
"On July 22 , Moore announced he would appeal the case directly to the U.S. Supreme Court .",Moore of Alabama says he will appeal his case to the nation 's highest court .,1,44,paraphrase,1
"The broad Standard & Poor 's 500 Index .SPX gained 19.72 points , or 1.98 percent , to 1,015.69 .","The Dow Jones industrial average .DJI jumped 2.09 percent , while the Standard & Poor 's 500 Index .SPX leapt 2.23 percent .",0,45,non-paraphrase,0
"Thanks to the euro 's rise against the Japanese currency , the dollar was at 117.24 yen , well above the overnight 10-month low of 116 yen .","The euro 's rise against the yen and speculation of Japanese intervention helped the dollar firm to 117.25 yen , well above a 10-month low of 116 yen hit on Thursday .",0,46,non-paraphrase,0
"Thursday afternoon , the Standard & Poor 's 500-stock index was trading up just 1.48 points , or 0.1 percent , to 1,049.59 .","Stocks closed largely unchanged , with the Standard & Poor 's 500-stock index dipping 1.17 points , to 1,046.94 .",0,47,non-paraphrase,0
"Nicholas is the uncle of Louima , the Haitian immigrant who was sexually tortured by NYPD cops in 1997 .","Mr. Nicolas is an uncle of Abner Louima , who was tortured by New York City police officers in 1997 .",1,49,paraphrase,1
The procedure is generally performed in the second or third trimester .,"The technique is used during the second and , occasionally , third trimester of pregnancy .",1,50,paraphrase,1
""" Just sitting around in a big base camp , knocking back cans of beer , I don 't particularly regard as mountaineering , "" he added .",""" Sitting around in base camp knocking back cans of beer - that I don 't particularly regard as mountaineering . """,1,51,non-paraphrase,0
"She survives him as do their four children -- sons Anthony and Kelly , daughters Linda Hope and Nora Somers -- and four grandchildren .",Hope is survived by his wife ; sons Anthony and Kelly ; daughters Linda and Nora Somers ; and four grandchildren .,1,52,paraphrase,1
"It exploded in his hands , but the former Italian prime minister was unhurt .",The letter bomb sent to Prodi exploded in his hands but he was unhurt .,1,53,paraphrase,1
The British Foreign Office said Monday that coalition authorities in Iraq were pleased that the men were freed .,The British Foreign Office said it had mediated the two men 's release .,0,54,paraphrase,1
"Now , with the agency 's last three shuttles grounded in the wake of the Columbia disaster , that wait could be even longer .","With the remaining three shuttles grounded in the wake of the Columbia accident , the rookies will have to wait even longer .",1,55,paraphrase,1
ISRAELI soldiers knocked down empty mobile homes and water towers in 10 tiny West Bank settlement outposts overnight as part of a US-backed Mideast peace plan .,Israeli soldiers began tearing down settlement outposts in the West Bank yesterday - an Israeli obligation under a new Mideast peace plan .,1,56,non-paraphrase,0
""" These documents are indecipherable to me , and the fact is that this investigation has led nowhere , "" the lawyer said .",""" These documents are indecipherable to me , "" the lawyers said , "" and the fact is that this investigation has led nowhere . """,1,57,non-paraphrase,0
"The latest snapshot of the labor markets was slightly better than economists were expecting ; they were forecasting claims to fall no lower than 410,000 for last week .","Despite problems in the job market , the latest snapshot of the labor markets was slightly better than economists were expecting .",0,58,paraphrase,1
"Another body was pulled from the water on Thursday and two seen floating down the river could not be retrieved due to the strong currents , local reporters said .","Two more bodies were seen floating down the river on Thursday , but could not be retrieved due to the strong currents , local reporters said .",1,59,non-paraphrase,0
"Those reports were denied by the interior minister , Prince Nayef .","However , the Saudi interior minister , Prince Nayef , denied the reports .",1,60,paraphrase,1
"Other members of the organization are believed to be in Pakistani cities , and many of the arrests of key al-Qaida operatives have taken place in those areas .","Other members of the organization are believed to be in Pakistani cities , where many of the arrests of key Al Qaeda operatives have taken place .",1,61,paraphrase,1
""" Our decision today is quite limited , "" the judges stated in their opinion .",""" Our decision today is quite limited , "" they conclude .",1,62,non-paraphrase,0
The woman had agreed to testify after receiving immunity protecting her from punishment for lying and other violations of the academy 's honor code .,The defense said the woman testified under an immunity deal protecting her from punishment for lying and other violations of the academy 's honor code .,1,63,non-paraphrase,0
"Under terms of the deal , Legato stockholders will receive 0.9 of a share of EMC common stock for each share of Legato stock .",Legato stockholders will get 0.9 of a share of EMC stock for every share of Legato they own .,1,64,paraphrase,1
""" Our prognosis for a continued and steady recovery is being realized , and the outlook remains bright , "" bureau CEO Greg Stuart says .",""" Our prognosis for a continued and steady recovery is being realized and the outlook remains bright , "" said Greg Stuart , president and CEO of the IAB .",1,65,paraphrase,1
Kingston also finished with 67 after producing six birdies on the back nine .,South Africa 's James Kingston is also on five under after blitzing six birdies on his back nine .,1,66,paraphrase,1
""" At least two of them were supposed to be in positions of leadership for the younger boys .",""" At least two of [ the suspects ] were supposed to be in positions of leadership , "" he said .",1,67,paraphrase,1
"Ms Lafferty 's lawyer , Thomas Ezzell , told a Kentucky newspaper : "" My understanding of this is that there is a lower percentage of successful impregnations with frozen .",""" My understanding of this is that there is a lower percentage of successful impregnations with frozen , "" Ezzell said .",1,68,non-paraphrase,0
Its Canadian operations only buy beef from facilities that are federally inspected and approved by the Canadian Food Inspection Agency .,""" McDonald 's Canada only purchases beef from facilities federally inspected and approved by the Canadian Food Inspection Agency . """,1,69,paraphrase,1
Agriculture ministers from more than one hundred nations are expected to attend the three-day Ministerial Conference and Expo on Agricultural Science and Technology sponsored by the U.S. Department of Agriculture .,U.S. Agriculture Secretary Ann Veneman kicks off the three-day Ministerial Conference and Expo on Agricultural Science and Technology on Monday .,0,70,paraphrase,1
"While there were about 700 Uruguayan UN peacekeepers in Bunia , they were "" neither trained nor equipped "" to deal with inter-ethnic violence , Mr Eckhard said .","The UN has approximately 600 troops in the town , but they were "" neither trained nor equipped "" to deal with inter-ethnic violence , Mr Eckhard said .",1,71,non-paraphrase,0
"Shares of Coke were down 49 cents , or 1.1 percent , at $ 43.52 in early trading Friday on the New York Stock Exchange .","In late morning trading , Coke shares were down 2 cents at $ 43.99 on the New York Stock Exchange .",1,72,paraphrase,1
"NASIRIYA , Iraq — Iraqi doctors who treated former prisoner of war Jessica Lynch have angrily dismissed claims made in her biography that she was raped by her Iraqi captors .",Former prisoner of war Pfc. Jessica Lynch is winning admiration in her hometown all over again for the courage to reveal she was raped by her Iraqi captors .,0,73,non-paraphrase,0
"If people took the pill daily , they would lower their risk of heart attack by 88 percent and of stroke by 80 percent , the scientists claim .","Taking the pill would lower the risk of heart attack by 88 percent and of stroke by 80 percent , the scientists said .",1,74,non-paraphrase,0
"Amgen shares gained 93 cents , or 1.45 percent , to $ 65.05 in afternoon trading on Nasdaq .",Shares of Allergan were up 14 cents at $ 78.40 in late trading on the New York Stock Exchange .,1,75,paraphrase,1
"From the start , however , the United States ' declared goal was not just to topple Saddam but to stabilize Iraq and install a friendly government .",But the United States ' ultimate goal was not just to topple Mr. Hussein but to stabilize the country and install a friendly government .,1,76,paraphrase,1
"Customers that pay the $ 1,219 entrance fee get SMS 2003 with 10 device client access licenses .","Retail pricing for SMS 2003 with 10 device client access licenses is $ 1,219 .",1,77,non-paraphrase,0
"It was the best advance since Oct. 1 , when the index gained 22.25 .","Standard & Poor 's 500 index rose 15.66 to 1,046.79 , its best advance since Oct. 1 , when it gained 22.25 .",0,78,non-paraphrase,0
""" Americans don 't cut and run , we have to see this misadventure through , "" she said .","She also pledged to bring peace to Iraq : "" Americans don 't cut and run , we have to see this misadventure through . """,0,79,non-paraphrase,0
MSN Messenger 6 will be available for download starting at 6 p.m. GMT on Wednesday from http : / / messenger.msn.com / download / v6preview.asp.,"The MSN Messenger 6 software will be available from 11 a.m. PST on Wednesday , according to Microsoft .",1,80,paraphrase,1
"If Shelley certifies enough are valid , the lieutenant governor must call an election within 60 to 80 days , setting the state into uncharted political waters .","If the Democrat certifies that there are enough valid signatures , the lieutenant governor must call an election within 60 to 80 days .",0,81,paraphrase,1
The most serious breach of royal security in recent years occurred in 1982 when 30-year-old Michael Fagan broke into the queen 's bedroom at Buckingham Palace .,"It was the most serious breach of royal security since 1982 when an intruder , Michael Fagan , found his way into the Queen 's bedroom at Buckingham Palace .",1,82,paraphrase,1
Shares of LendingTree rose 22 cents to $ 14.69 and have risen 14 percent this year .,"Shares of LendingTree rose $ 6.03 , or 41 percent , to close at $ 20.72 on the Nasdaq stock market yesterday .",0,83,non-paraphrase,0
"During a screaming match in 1999 , Carolyn told John she was still sleeping with Bergin .","She , in turn , occasionally told John that she was still sleeping with an ex-boyfriend , "" Baywatch "" hunk Michael Bergin .",0,84,paraphrase,1
""" The vulnerabilities all relate to a lack of effective FAA oversight that needs to be improved , "" the report said .",""" These vulnerabilities all relate to a lack of effective FAA oversight and , if not corrected , could lead to an erosion of safety , "" said the report .",0,85,non-paraphrase,0
"The network is also dropping its Friday night "" Dateline "" edition .","The network will drop one edition of "" Dateline , "" its newsmagazine franchise .",1,86,paraphrase,1
""" I 'm real excited to be a Cleveland Cavalier , "" James said .",""" I 'm really excited about going to Cleveland , "" James told ESPN.com.",1,87,paraphrase,1
Russ Britt is the Los Angeles Bureau Chief for CBS.MarketWatch.com.,Emily Church is London bureau chief of CBS.MarketWatch.com.,0,88,non-paraphrase,0
"The others were ABN AMRO AAH.AS , ING ING.AS , Goldman Sachs GS.N and Rabobank [ RABN.UL ] .","The five main banks are ABN AMRO AAH.AS , ING ING.AS , J.P. Morgan JPM.N , Goldman Sachs GS.N and Rabobank [ RABN.UL ] .",1,89,paraphrase,1
"WorldCom 's accounting problems came to light early last year , and the company filed for bankruptcy in July 2002 , citing massive accounting irregularities .","WorldCom 's financial troubles came to light last year and the company subsequently filed for bankruptcy in July , 2002 .",0,90,both sentences are paraph,1
They were at Raffles Hospital over the weekend for further evaluation .,"They underwent more tests over the weekend , and are now warded at Raffles Hospital .",1,91,paraphrase,1
"Rich media doubled its share , increasing from 3 % in Q2 2002 to 6 % in Q2 2003 .","Rich Media interactive ad formats doubled their share from 3 % in second quarter of 2002 , to 6 % in the second quarter of 2003 .",1,92,non-paraphrase,0
"She first went to a specialist for initial tests last Monday , feeling tired and unwell .","The star , who plays schoolgirl Nina Tucker in Neighbours , went to a specialist on June 30 feeling tired and unwell .",0,93,paraphrase,1
Supermarket chains facing a possible grocery clerk strike this week accused union leaders Monday of breaking off contract talks prematurely over the weekend .,Supermarket chains are accusing union leaders of breaking off contract talks prematurely over the weekend as grocery clerks gear up for a possible strike .,1,94,paraphrase,1
"MGM , NBC and Liberty executives were not immediately available for comment .",A Microsoft spokesman was not immediately available to comment .,0,95,non-paraphrase,0
The ADRs fell 10 cents to $ 28.95 at 10 : 06 a.m. in New York Stock Exchange composite trading today .,"Shares of Fox Entertainment Group Inc . , News Corp. ' s U.S. media and entertainment arm , fell 45 cents to $ 26.85 in New York Stock Exchange composite trading .",0,96,non-paraphrase,0
"Don Asper called the attack "" bothersome , "" before he and his wife contacted the firm 's Web site provider to replace the vandalized page .","In a telephone interview , Don Asper called the attack "" bothersome , "" before he and his wife contacted the firm 's web site provider to have the vandalised page replaced .",1,97,non-paraphrase,0
Hilsenrath and Klarman each were indicted on three counts of securities fraud .,Klarman was charged with 16 counts of wire fraud .,0,98,paraphrase,1
York had no problem with MTA 's insisting the decision to shift funds had been within its legal rights .,York had no problem with MTA 's saying the decision to shift funds was within its powers .,1,99,paraphrase,1
"Licensing revenue slid 21 percent , however , to $ 107.6 million .","License sales , a key measure of demand , fell 21 percent to $ 107.6 million .",1,100,paraphrase,1
"In his speech , Cheney praised Barbour 's accomplishments as chairman of the Republican National Committee .",Cheney returned Barbour 's favorable introduction by touting Barbour 's work as chair of the Republican National Committee .,1,101,paraphrase,1
"If the magazine lost more than $ 4.2 million in a fiscal year , O 'Donnell would be allowed to quit .","If Rosie lost more than $ 4.2 million in a fiscal year , O 'Donnell - by contract - would have been permitted to quit .",1,102,paraphrase,1
"The upcoming second-quarter earnings season will be particularly important in offering investors guidance , they say .",They say second-quarter earnings reports will be key in giving investors that guidance .,1,103,paraphrase,1
"During her two days of meetings , Rocca will not meet the rebels since they are banned by the United States as a "" terrorist organisation "" .","During her two-day visit , Rocca will not meet the rebels since the United States has banned them as a "" terrorist organisation "" .",1,104,paraphrase,1
"Nationally , the federal Centers for Disease Control and Prevention recorded 4,156 cases of West Nile , including 284 deaths .","There were 293 human cases of West Nile in Indiana in 2002 , including 11 deaths statewide .",0,105,paraphrase,1
"The blue-chip Dow Jones industrial average .DJI added 38 points , or 0.42 percent , to 9,165 .","The Dow Jones Industrial Average [ $ INDU ] ended at session highs , gaining 64.64 points , or 0.7 percent , to 9,191.09 .",1,106,non-paraphrase,0
"By the time the two-term president left office in 1989 , the Navy had nearly 600 ships--about twice the ships it has today .","By the time that Reagan left office in 1989 , the Navy had nearly 600 ships - about twice the number that it has today .",1,107,paraphrase,1
We are piloting it there to see whether we roll it out to other products .,Macromedia is piloting this product activation system in Contribute to test whether to roll it out to other products .,1,108,non-paraphrase,0
This issue is unlikely to be resolved until lawmakers return from their summer recess in early September .,The issue is unlikely to be resolved until Congress reconvenes in early September .,1,109,paraphrase,1
""" We will clearly modify some features of our plans as well as their administration , "" Mr. Reed said in his letter .",""" We will clearly modify some features of our plans as well as their administration , "" Reed said in a letter to the NYSE 's 1,366 members .",1,110,non-paraphrase,0
"The index also did better than the Standard & Poor 's 500 index , which increased 3.3 percent .","The broader Standard & Poor 's 500 Index < .SPX > was up 9.05 points , or 0.94 percent , at 972.64 .",0,111,non-paraphrase,0
"Scrimshaw , Supervisor , Best Minister and Ten Most Wanted are expected to complete the Belmont field .","Best Minister , Scrimshaw , and Ten Most Wanted all had workouts on Monday morning .",0,112,non-paraphrase,0
"Judge Gerald W. Heaney , in dissent , said the authorities should have allowed the prisoner to be medicated without the consequence of execution .","In dissent , Judge Gerald W. Heaney said the authorities should have allowed Mr. Singleton to be medicated without the consequence of execution .",1,113,non-paraphrase,0
That was 4 cents higher than the expectations of analysts surveyed by Thomson First Call .,The per-share earnings were also 4 cents per share higher than the expectations of analysts surveyed by Thomson First Call .,1,114,paraphrase!,1
""" The GPL violates the U.S. Constitution , together with copyright , antitrust and export control laws , and IBMs claims based thereon , or related thereto , are barred . ""","SCO 's filings also assert that "" the GPL violates the U.S. Constitution , together with copyright , antitrust and export control laws . """,0,115,non-paraphrase,0
NASA plans to follow-up the rovers ' missions with additional orbiters and landers before launching a long-awaited sample-return flight .,NASA plans to explore the Red Planet with ever more sophisticated robotic orbiters and landers .,0,116,paraphrase,1
"The broader Standard & Poor 's 500 Index .SPX crept up 4.3 points , or 0.44 percent , to 980.52 .","The technology-laced Nasdaq Composite Index .IXIC rose 17.33 points , or 1.07 percent , to 1,640.13 .",0,117,non-paraphrase,0
"Garner said the self-proclaimed mayor of Baghdad , Mohammed Mohsen al-Zubaidi , was released after two days in coalition custody .",Garner said self-proclaimed Baghdad mayor Mohammed Mohsen Zubaidi was released 48 hours after his detention in late April .,0,118,paraphrase,1
"In a statement , Microsoft said the dividend is payable Nov. 7 to shareholders of record on Oct. 17 .","The dividend , the company 's second this calendar year , is payable on Nov. 7 to shareholders of record at the close of business Oct. 17 .",1,119,non-paraphrase,0
She asked to be excused from last week 's Cabinet session to prepare for a meeting with the presidents of Rwanda and Uganda .,She took the highly unusual step of skipping cabinet to attend a meeting with the presidents of Rwanda and Uganda .,1,120,non-paraphrase,0
"In a not-too-subtle swipe at Dean , he predicted Americans would not elect a Democrat "" who sounds an uncertain trumpet in these dangerous times . ""","They will not elect as president a Democrat who sounds an uncertain trumpet in these dangerous times . """,0,121,paraphrase,1
The jury asked for transcripts of Quattrone 's testimony about his role in the IPO allocation process .,The jury asked to have Mr. Quattrone 's testimony about his role in the allocation of stock offerings read to them .,1,122,non-parap,0
I have no doubt whatever that the evidence of Iraqi weapons of mass destruction will be there .,""" I have said throughout ... I have absolutely no doubt about the existence of weapons of mass destruction .",1,123,paraphrase,1
Albertsons and Kroger 's Ralphs chain locked out their workers in response .,Kroger 's Ralphs chain and Albertsons immediately locked out their grocery workers in a show of solidarity .,1,124,paraphrase,1
It later emerged that he had broken his right thigh and bones in his right wrist and elbow .,Tour doctors later confirmed that he had broken his right leg near the hip and also sustained wrist and elbow fractures .,1,125,paraphrase,1
"Court Judge Robert Sweet said the plaintiffs failed "" to draw an adequate casual connection between the consumption of McDonald 's food and their alleged injuries . ""","The judge in U.S. District Court in Manhattan said the plaintiffs had failed "" to draw an adequate casual connection between the consumption of McDonald 's food and their alleged injuries . """,1,126,non-paraphrase,0
"A neighbor said a duffel bag containing a woman 's body was dug up , and the other body was encased in concrete .","A neighbor said a woman 's body was dug up in a duffel bag , and the other was encased in concrete .",1,127,non-paraphrase,0
"At least five class-action lawsuits have been filed , including one in Pennsylvania .",At least five class-action lawsuits have been filed on behalf of hormone users .,0,128,paraphrase,1
Southwest said it completed inspections of its entire fleet of 385 aircraft -- all 737s -- and found no additional items .,Southwest said it had already inspected its fleet of 385 aircraft and found no additional suspicious items .,1,129,paraphrase,1
Semiconductor giant Intel Corp. said yesterday that its second-quarter profits doubled from a year ago as stronger-than-expected demand for computer microprocessors offset the weakness of its communications chip business .,Intel Corp. ' s second-quarter profits doubled and revenues grew 8 percent from a year ago as the chip-making giant reported stronger-than-expected demand for personal computer microprocessors .,0,130,non-paraphrase,0
The South Korean Agriculture and Forestry Ministry also said it would throw out or send back all Canadian beef currently in store .,The South Korean Agriculture and Forestry Ministry said it would scrap or return all Canadian beef in store .,1,131,paraphrase,1
""" It appears from our initial report that this was a textbook landing considering the circumstances , "" Burke said .","Said Mr. Burke : "" It was a textbook landing considering the circumstances . """,0,132,paraphrase,1
"By Sunday night , the fires had blackened 277,000 acres , hundreds of miles apart .","Major fires had burned 264,000 acres by early last night .",0,133,paraphrase,1
""" The Domino application server is going to be around for at least the next decade . """,""" The Domino application server will be around for the next decade , "" he said .",1,134,non-paraphrase,0
"The technology-laced Nasdaq Composite Index .IXIC shed 15 points , or 0.98 percent , to 1,492 .","The broader Standard & Poor 's 500 Index < .SPX > edged down 9 points , or 0.98 percent , to 921 .",0,135,non-paraphrase,0
Sequent representatives could not immediately be reached for comment on the SCO announcement .,A spokesman for SCO could not be reached for comment this afternoon .,1,136,paraphrase,1
"CCAG supported Bill Curry , Rowland 's opponent in the 2002 gubernatorial election .","Mr. Swan 's group supported the governor 's Democratic opponent , Bill Curry , in the 2002 election .",1,137,paraphrase,1
The study is being published today in the journal Science .,Their findings were published today in Science .,1,138,non-paraphrase,0
""" The panel told the U.S. to correct its flawed determination , "" said Pierre Pettigrew , Canada 's trade minister , in a statement .",""" The panel told the U.S. to correct its flawed determination , "" Mr. Pettigrew said in a statement .",1,139,non-paraphrase,0
Kay was sent to Iraq to co-ordinate efforts to find the weapons that US intelligence reported before the invasion that ousted Iraqi president Saddam Hussein had .,Kay was sent to Iraq this summer to coordinate efforts to find the weapons that U.S. intelligence reported before the war that Saddam Hussein had .,1,140,paraphrase,1
""" It 's a recognition that we were provided faulty information , "" Tom Daschle , the senate Democratic leader , told reporters .",""" It 's a recognition that we were provided faulty information , "" Senate Democratic Leader Tom Daschle of South Dakota told reporters .",1,141,non-paraphrase,0
"Monday 's attacks Monday were among the deadliest against Americans since Sept . 11 , 2001 .",They were the deadliest terrorist attacks against Americans since September 11 .,1,142,paraphrase,1
The MDC called the strike to force Mr Mugabe to either resign or negotiate a settlement of the Zimbabwe crisis .,The MDC called the week-long protest to urge Mugabe either to resign or to negotiate a settlement of the crisis gripping the country .,1,143,paraphrase,1
