,sentence1,sentence2,label,idx,OpenAI_prediction
30,"Dynes will get $ 395,000 a year , up from Atkinson 's current salary of $ 361,400 .","In his new position , Dynes will earn $ 395,000 , a significant increase over Atkinson 's salary of $ 361,400 .",1,30,1
31,The daily Hurriyet said the raid aimed to foil a Turkish plot to kill an unnamed senior Iraqi official in Kirkuk .,"The daily Hurriyet said the raid aimed to foil a Turkish plot to kill an unnamed senior Iraqi Kurdish official in Kirkuk , but Gul has denied any Turkish plot .",0,31,0
32,""" It was a little bit embarrassing the way we played in the first two games , "" Thomas said .",""" We 're in the Stanley Cup finals , and it was a little bit embarrassing the way we played in the first two games .",0,32,0
33,"Against the Japanese currency , the euro was at 135.92 / 6.04 yen against the late New York level of 136.03 / 14 .","The dollar was at 117.85 yen against the Japanese currency , up 0.1 percent .",0,33,0
34,"Snow 's remark ``has a psychological impact , ' ' said Hans Redeker , head of foreign-exchange strategy at BNP Paribas .","Snow 's remark on the dollar 's effects on exports ``has a psychological impact , ' ' said Hans Redeker , head of foreign- exchange strategy at BNP Paribas .",1,34,1
35,The women said victims of rape who came forward routinely were punished for minor infractions while their assailants escaped judgment .,"The women said victims of rape who came forward were routinely punished for minor infractions while their attackers escaped judgment , prompting most victims to remain silent .",0,35,1
36,""" The National has no interest in acquiring AMP while AMP owns its UK business , "" Cicutto added .",""" The National has no interest in acquiring AMP while AMP owns its U.K. business , "" NAB chief executive Frank Cicutto said .",1,36,1
37,"In a statement , Mr. Rowland said : "" As is the case with all appointees , Commissioner Anson is accountable to me .",""" As is the case with all appointees , Commissioner Anson is accountable to me , "" Rowland said .",1,37,1
38,Oracle 's $ 5 billion hostile bid for PeopleSoft is clearly not sitting well with PeopleSoft 's executives .,Oracle on Friday launched a $ 5.1 billion hostile takeover bid for PeopleSoft .,0,38,0
39,"Taha is married to former Iraqi oil minister Amir Muhammed Rasheed , who surrendered to U.S. forces on April 28 .","Taha 's husband , former oil minister Amer Mohammed Rashid , surrendered to U.S. forces on April 28 .",1,39,1
40,Cisco pared spending during the quarter to compensate for sluggish sales .,"In response to sluggish sales , Cisco pared spending .",1,40,1
41,"Seven 20- and 21-year-old cadets were ticketed by police for drinking alcohol in an off-campus hotel room early Saturday with two young women , aged 16 and 18 .","Seven 20- and 21-year-old male cadets were caught in an off-campus hotel room early Saturday with two female teens , 16 and 18 years .",1,41,1
42,"Dixon 's win moved him into second place in the points standings , 49 behind Kanaan .",""" It 's always fun to come to Colorado , "" said Dixon , who moved into second in the IRL standings behind Kanaan .",0,42,0
43,"Last year , Congress passed similar , though less expensive , buyout legislation for peanut farmers , ending that Depression-era program .","Last year , Congress passed similar , though less expensive , buyout legislation for peanut farmers to end that program that also dated from the Depression years .",1,43,1
44,"On July 22 , Moore announced he would appeal the case directly to the U.S. Supreme Court .",Moore of Alabama says he will appeal his case to the nation 's highest court .,1,44,1
45,"The broad Standard & Poor 's 500 Index .SPX gained 19.72 points , or 1.98 percent , to 1,015.69 .","The Dow Jones industrial average .DJI jumped 2.09 percent , while the Standard & Poor 's 500 Index .SPX leapt 2.23 percent .",0,45,0
46,"Thanks to the euro 's rise against the Japanese currency , the dollar was at 117.24 yen , well above the overnight 10-month low of 116 yen .","The euro 's rise against the yen and speculation of Japanese intervention helped the dollar firm to 117.25 yen , well above a 10-month low of 116 yen hit on Thursday .",0,46,1
47,"Thursday afternoon , the Standard & Poor 's 500-stock index was trading up just 1.48 points , or 0.1 percent , to 1,049.59 .","Stocks closed largely unchanged , with the Standard & Poor 's 500-stock index dipping 1.17 points , to 1,046.94 .",0,47,0
48,""" They were chipping away at the concrete to get to the body , "" said Chris Butler , who lives across the street .","Investigators "" were chipping away at the concrete to get to the body , "" said Chris Butler , who lives across the street in the quiet city neighborhood .",1,48,1
49,"Nicholas is the uncle of Louima , the Haitian immigrant who was sexually tortured by NYPD cops in 1997 .","Mr. Nicolas is an uncle of Abner Louima , who was tortured by New York City police officers in 1997 .",1,49,1
