,sentence1,sentence2,label,idx,noisy_sentence1,noisy_sentence2,noisy_pair
12,But he added group performance would improve in the second half of the year and beyond .,De Sole said in the results statement that group performance would improve in the second half of the year and beyond .,1,13,but he added group performance would improve in the second half of the year and beyond .,de sole said in the results statement that group performance would improve in the second half of the year and beyond .,True
13,He told The Sun newspaper that Mr. Hussein 's daughters had British schools and hospitals in mind when they decided to ask for asylum .,""" Saddam 's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools , "" he told The Sun .",1,14,he told the sun newspaper that mr. hussein 's daughters had british schools and hospitals in mind when they decided to ask for asylum .,""" saddam 's daughters had british schools and hospitals in mind when they decided to ask for asylum especially the schools , "" he told the sun .",True
14,"Gyorgy Heizler , head of the local disaster unit , said the coach was carrying 38 passengers .","The head of the local disaster unit , Gyorgy Heizler , said the coach driver had failed to heed red stop lights .",0,15,"gyorgy heizler , head of the local disaster unit , said the coach was carrying 38 passengers .","the head of the local disaster unit , gyorgy heizler , said the coach driver had failed to heed red stop lights .",True
15,Rudder was most recently senior vice president for the Developer & Platform Evangelism Business .,"Senior Vice President Eric Rudder , formerly head of the Developer and Platform Evangelism unit , will lead the new entity .",0,16,rudder was most recently senior vice president for the developer platform evangelism business .,"senior vice president eric rudder , formerly head of the developer and platform evangelism unit , will lead the new entity .",True
16,"As well as the dolphin scheme , the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls .",Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls .,0,17,"as well as the dolphin scheme , the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls .",internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls .,True
17,"Sheena Young of Child , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .","Sheena Young , a spokesman for Child , the national infertility support network , said the proposed guidelines should lead to a more "" fair and equitable "" service for infertility sufferers .",1,19,"sheena young of child , the national infertility support network , hoped the guidelines would lead to a more "" fair and equitable "" service for infertility sufferers .","sheena young , a spokesman for child , the national infertility support network , said the proposed guidelines should lead to a more "" fair and equitable "" service for infertility sufferers .",True
18,""" I think you 'll see a lot of job growth in the next two years , "" he said , adding the growth could replace jobs lost .",""" I think you 'll see a lot of job growth in the next two years , "" said Mankiw .",0,20,""" i think you 'll see a lot of job growth in the next two years , "" he said , adding the growth could replace jobs lost .",""" i think you 'll see a lot of job growth in the next two years , "" said mankiw .",True
19,"The new Finder puts a user 's folders , hard drive , network servers , iDisk and removable media in one location , providing one-click access .","Panther 's redesigned Finder navigation tool puts a user 's favourite folders , hard drive , network servers , iDisk and removable media in one location .",1,21,"the new finder puts a user 's folders , hard drive , network servers , idisk and removable media in one location , providing oneclick access .","panther 's redesigned finder navigation tool puts a user 's favourite folders , hard drive , network servers , idisk and removable media in one location .",True
20,"But tropical storm warnings and watches were posted today for Haiti , western portions of the Dominican Republic , the southeastern Bahamas and the Turk and Caicos islands .","Tropical storm warnings were in place Thursday for Jamaica and Haiti and watches for the western Dominican Republic , the southeastern Bahamas and the Turks and Caicos islands .",1,22,"but tropical storm warnings and watches were posted today for haiti , western portions of the dominican republic , the southeastern bahamas and the turk and caicos islands .","tropical storm warnings were in place thursday for jamaica and haiti and watches for the western dominican republic , the southeastern bahamas and the turks and caicos islands .",True
21,A federal magistrate in Fort Lauderdale ordered him held without bail .,"Zuccarini was ordered held without bail Wednesday by a federal judge in Fort Lauderdale , Fla .",1,23,a federal magistrate in fort lauderdale ordered him held without bail .,"zuccarini was ordered held without bail wednesday by a federal judge in fort lauderdale , fla .",True
22,A BMI of 25 or above is considered overweight ; 30 or above is considered obese .,"A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .",0,24,a bmi of 25 or above is considered overweight 30 or above is considered obese .,"a bmi between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .",True
23,"Six months ago , the IMF and Argentina struck a bare-minimum $ 6.8-billion debt rollover deal that expires in August .","But six months ago , the two sides managed to strike a $ 6.8-billion debt rollover deal , which expires in August .",1,26,"six months ago , the imf and argentina struck a bareminimum 6.8billion debt rollover deal that expires in august .","but six months ago , the two sides managed to strike a 6.8billion debt rollover deal , which expires in august .",True
24,"Inhibited children tend to be timid with new people , objects , and situations , while uninhibited children spontaneously approach them .","Simply put , shy invividuals tend to be more timid with new people and situations .",1,27,"inhibited children tend to be timid with new people , objects , and situations , while uninhibited children spontaneously approach them .","simply put , shy invividuals tend to be more timid with new people and situations .",True
25,"I wanted to bring the most beautiful people into the most beautiful building , he said Sunday inside the Grand Central concourse .",""" I wanted to bring the most beautiful people into the most beautiful building , "" Tunick said Sunday .",1,28,"i wanted to bring the most beautiful people into the most beautiful building , he said sunday inside the grand central concourse .",""" i wanted to bring the most beautiful people into the most beautiful building , "" tunick said sunday .",True
26,"The broad Standard & Poor 's 500 < .SPX > fell 10.75 points , or 1.02 percent , to 1,039.32 .","The S & P 500 index was up 1.26 , or 0.1 percent , to 1,039.32 after sinking 10.75 yesterday .",0,29,"the broad standard poor 's 500 .spx fell 10.75 points , or 1.02 percent , to 1,039.32 .","the s p 500 index was up 1.26 , or 0.1 percent , to 1,039.32 after sinking 10.75 yesterday .",True
27,"Duque will return to Earth Oct. 27 with the station 's current crew , U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko .",Currently living onboard the space station are American astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko .,0,30,"duque will return to earth oct. 27 with the station 's current crew , u.s. astronaut ed lu and russian cosmonaut yuri malenchenko .",currently living onboard the space station are american astronaut ed lu and russian cosmonaut yuri malenchenko .,True
28,"Singapore is already the United States ' 12th-largest trading partner , with two-way trade totaling more than $ 34 billion .","Although a small city-state , Singapore is the 12th-largest trading partner of the United States , with trade volume of $ 33.4 billion last year .",1,31,"singapore is already the united states ' 12thlargest trading partner , with twoway trade totaling more than 34 billion .","although a small citystate , singapore is the 12thlargest trading partner of the united states , with trade volume of 33.4 billion last year .",True
29,"The largest gains were seen in prices , new orders , inventories and exports .","Sub-indexes measuring prices , new orders , inventories and exports increased .",1,34,"the largest gains were seen in prices , new orders , inventories and exports .","subindexes measuring prices , new orders , inventories and exports increased .",True
30,Trading in Loral was halted yesterday ; the shares closed on Monday at $ 3.01 .,"The New York Stock Exchange suspended trading yesterday in Loral , which closed at $ 3.01 Friday .",1,35,trading in loral was halted yesterday the shares closed on monday at 3.01 .,"the new york stock exchange suspended trading yesterday in loral , which closed at 3.01 friday .",True
31,Earnings per share from recurring operations will be 13 cents to 14 cents .,That beat the company 's April earnings forecast of 8 to 9 cents a share .,0,36,earnings per share from recurring operations will be 13 cents to 14 cents .,that beat the company 's april earnings forecast of 8 to 9 cents a share .,True
32,"He plans to have dinner with troops at Kosovo 's U.S. military headquarters , Camp Bondsteel .","After that , he plans to have dinner at Camp Bondsteel with U.S. troops stationed there .",1,37,"he plans to have dinner with troops at kosovo 's u.s. military headquarters , camp bondsteel .","after that , he plans to have dinner at camp bondsteel with u.s. troops stationed there .",True
33,Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things off on Monday .,Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .,1,38,retailers j.c. penney co . inc . jcp and walgreen co . wag kick things off on monday .,retailers j.c. penney co . inc . jcp.n and walgreen co . wag.n kick things off on monday .,True
34,Prosecutors filed a motion informing Lee they intend to seek the death penalty .,He added that prosecutors will seek the death penalty .,1,39,prosecutors filed a motion informing lee they intend to seek the death penalty .,he added that prosecutors will seek the death penalty .,True
35,"Last year the court upheld Cleveland 's school voucher program , ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools .","Last year , the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools .",1,40,"last year the court upheld cleveland 's school voucher program , ruling 54 that vouchers are constitutional if they provide parents a choice of religious and secular schools .","last year , the court ruled 54 in an ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools .",True
36,He beat testicular cancer that had spread to his lungs and brain .,"Armstrong , 31 , battled testicular cancer that spread to his brain .",0,41,he beat testicular cancer that had spread to his lungs and brain .,"armstrong , 31 , battled testicular cancer that spread to his brain .",True
37,"Sorkin , who faces charges of conspiracy to obstruct justice and lying to a grand jury , was to have been tried separately .",Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury .,1,42,"sorkin , who faces charges of conspiracy to obstruct justice and lying to a grand jury , was to have been tried separately .",sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury .,True
38,"Graves reported from Albuquerque , Villafranca from Austin and Ratcliffe from Laredo .",Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque .,0,43,"graves reported from albuquerque , villafranca from austin and ratcliffe from laredo .",pete slover reported from laredo and gromer jeffers from albuquerque .,True
39,"The US chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 .","The Americas market will decline 2.1 percent to $ 30.6 billion in 2003 , and then grow 15.7 percent to $ 35.4 billion in 2004 .",1,44,"the us chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 .","the americas market will decline 2.1 percent to 30.6 billion in 2003 , and then grow 15.7 percent to 35.4 billion in 2004 .",True
40,"The group will be headed by State Department official John S. Wolf , who has served in Australia , Vietnam , Greece and Pakistan .","The group will be headed by John S. Wolf , an assistant secretary of state who has served in Australia , Vietnam , Greece and Pakistan .",1,45,"the group will be headed by state department official john s. wolf , who has served in australia , vietnam , greece and pakistan .","the group will be headed by john s. wolf , an assistant secretary of state who has served in australia , vietnam , greece and pakistan .",True
41,"The commission must work out the plan 's details , but the average residential customer paying $ 840 a year would get a savings of about $ 30 annually .",An average residential customer paying $ 840 a year for electricity could see a savings of $ 30 annually .,0,46,"the commission must work out the plan 's details , but the average residential customer paying 840 a year would get a savings of about 30 annually .",an average residential customer paying 840 a year for electricity could see a savings of 30 annually .,True
42,The company has said it plans to restate its earnings for 2000 through 2002 .,"The company had announced in January that it would have to restate earnings for 2002 , 2001 and perhaps 2000 .",1,47,the company has said it plans to restate its earnings for 2000 through 2002 .,"the company had announced in january that it would have to restate earnings for 2002 , 2001 and perhaps 2000 .",True
43,Results from No. 2 U.S. soft drink maker PepsiCo Inc . PEP.N were likely to be in the spotlight .,Results from No. 2 U.S. soft drink maker PepsiCo Inc . ( nyse : PEP - news - people ) were likely to be in the spotlight .,1,48,results from no. 2 u.s. soft drink maker pepsico inc . pep.n were likely to be in the spotlight .,results from no. 2 u.s. soft drink maker pepsico inc . nyse pep news people were likely to be in the spotlight .,True
44,""" The result is an overall package that will provide significant economic growth for our employees over the next four years . """,""" The result is an overall package that will provide a significant economic growth for our employees over the next few years , "" he said .",1,49,""" the result is an overall package that will provide significant economic growth for our employees over the next four years . """,""" the result is an overall package that will provide a significant economic growth for our employees over the next few years , "" he said .",True
45,"The songs are on offer for 99 cents each , or $ 9.99 for an album .",The company will offer songs for 99 cents and albums for $ 9.95 .,1,51,"the songs are on offer for 99 cents each , or 9.99 for an album .",the company will offer songs for 99 cents and albums for 9.95 .,True
46,"However , the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive .","The talk , however , has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive .",1,52,"however , the talk was downplayed by pbl which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive .","the talk , however , has been downplayed by pbl which said it would focus only on smaller purchases that were immediately earnings and cash flowaccretive .",True
47,Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .,The stock rose 48 cents to $ 30 yesterday in Nasdaq Stock Market trading .,1,53,comcast class a shares were up 8 cents at 30.50 in morning trading on the nasdaq stock market .,the stock rose 48 cents to 30 yesterday in nasdaq stock market trading .,True
48,The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s appearance .,"The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president 's appearance , Crosby said .",1,56,the washington post said airlite would shut down its first shift and parts of the second shift monday to accommodate the president s appearance .,"the plant plans to shut down its first shift and parts of the second shift monday to accommodate the president 's appearance , crosby said .",True
49,"A former teammate , Carlton Dotson , has been charged with the murder .","His body was found July 25 , and former teammate Carlton Dotson has been charged in his shooting death .",0,57,"a former teammate , carlton dotson , has been charged with the murder .","his body was found july 25 , and former teammate carlton dotson has been charged in his shooting death .",True
50,Several of the questions asked by the audience in the fast-paced forum were new to the candidates .,Several of the audience questions were new to the candidates as well .,1,58,several of the questions asked by the audience in the fastpaced forum were new to the candidates .,several of the audience questions were new to the candidates as well .,True
51,"Meanwhile , the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November .","The global death toll from SARS was at least 767 , with more than 8,300 people sickened since the virus first appeared in southern China in November .",1,59,"meanwhile , the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern china in november .","the global death toll from sars was at least 767 , with more than 8,300 people sickened since the virus first appeared in southern china in november .",True
52,The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein 's fallen regime .,"Twenty-seven Iraqis were killed , pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein 's fallen regime .",0,60,the battles marked day four of a u.s. sweep to hunt down supporters of saddam hussein 's fallen regime .,"twentyseven iraqis were killed , pushing the number of opposition deaths to about 100 in a u.s. operation to hunt down supporters of saddam hussein 's fallen regime .",True
53,"The women then had follow-up examinations after five , 12 and 24 years .","The women had follow-up examinations in 1974-75 , 1980-81 and 1992-93 , but were not asked about stress again .",0,61,"the women then had followup examinations after five , 12 and 24 years .","the women had followup examinations in 197475 , 198081 and 199293 , but were not asked about stress again .",True
54,The Embraer jets are scheduled to be delivered by September 2006 .,The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006 .,0,62,the embraer jets are scheduled to be delivered by september 2006 .,the bombardier and embraer aircraft will be delivered to u.s. airways by september 2006 .,True
55,"Contrary to what PeopleSoft management would have you believe , Oracle intends to fully support PeopleSoft customers and products for many years to come . ""","Ellison said that contrary to the contentions of PeopleSoft management , Oracle intends to "" fully support PeopleSoft customers and products "" for many years to come .",1,63,"contrary to what peoplesoft management would have you believe , oracle intends to fully support peoplesoft customers and products for many years to come . ""","ellison said that contrary to the contentions of peoplesoft management , oracle intends to "" fully support peoplesoft customers and products "" for many years to come .",True
56,"Application Intelligence will be included as part of the company 's SmartDefense application , which is included with Firewall-1 .","The new application intelligence features will be available June 3 and are included with the SmartDefense product , which comes with FireWall-1 .",0,64,"application intelligence will be included as part of the company 's smartdefense application , which is included with firewall1 .","the new application intelligence features will be available june 3 and are included with the smartdefense product , which comes with firewall1 .",True
57,"American Masters : Arthur Miller , Elia Kazan and the Blacklist : None Without Sin ( Wed .","Note the subheading of this terrible parable in the "" American Masters "" series , "" Arthur Miller , Elia Kazan and the Blacklist : None Without Sin . """,0,65,"american masters arthur miller , elia kazan and the blacklist none without sin wed .","note the subheading of this terrible parable in the "" american masters "" series , "" arthur miller , elia kazan and the blacklist none without sin . """,True
58,"The downtime , to take place in May and June , is expected to cut production by 60 million to 70 million board feet .",The downtime is expected to take 60 million to 70 million board feet out of the companys system .,1,66,"the downtime , to take place in may and june , is expected to cut production by 60 million to 70 million board feet .",the downtime is expected to take 60 million to 70 million board feet out of the companys system .,True
59,"On July 3 , Troy is expected to be sentenced to life in prison without parole .",Troy faces life in prison without parole at his July 30 sentencing .,1,67,"on july 3 , troy is expected to be sentenced to life in prison without parole .",troy faces life in prison without parole at his july 30 sentencing .,True
60,"The University of Michigan released a new undergraduate admission process Thursday , dropping a point system the U.S. Supreme Court found unconstitutional in June .",The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates .,1,68,"the university of michigan released a new undergraduate admission process thursday , dropping a point system the u.s. supreme court found unconstitutional in june .",the university of michigan released today a new admissions policy after the u.s. supreme court struck down in june the way it previously admitted undergraduates .,True
61,The processors were announced in San Jose at the Intel Developer Forum .,"The new processor was unveiled at the Intel Developer Forum 2003 in San Jose , Calif .",1,69,the processors were announced in san jose at the intel developer forum .,"the new processor was unveiled at the intel developer forum 2003 in san jose , calif .",True
62,"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call "" disturbing "" abuse of juveniles and "" unconscionable "" conditions at two state-run facilities .","The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi , alleging abuse of juvenile offenders at two state-run facilities .",0,70,"the justice department filed suit thursday against the state of mississippi for failing to end what federal officials call "" disturbing "" abuse of juveniles and "" unconscionable "" conditions at two staterun facilities .","the justice department filed a civil rights lawsuit thursday against the state of mississippi , alleging abuse of juvenile offenders at two staterun facilities .",True
63,It said the damage to the wing provided a pathway for hot gasses to penetrate the ship 's thermal armor during Columbia 's ill-fated reentry .,The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia 's thermal armour during its fatal re-entry .,1,71,it said the damage to the wing provided a pathway for hot gasses to penetrate the ship 's thermal armor during columbia 's illfated reentry .,the document says the damage to the wing provided a pathway for hot gases to penetrate columbia 's thermal armour during its fatal reentry .,True
64,"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O 'Neill 's family drama , "" Long Day 's Journey Into Night . ""","Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama , Long Days Journey Into Night . """,1,72,"also demonstrating boxoffice strength _ and getting seven tony nominations _ was a potent revival of eugene o 'neill 's family drama , "" long day 's journey into night . ""","also demonstrating boxoffice strength and getting seven tony nominations was a potent revival of eugene oneills family drama , long days journey into night . """,True
65,But Secretary of State Colin Powell brushed off this possibility Wednesday .,Secretary of State Colin Powell last week ruled out a non-aggression treaty .,1,74,but secretary of state colin powell brushed off this possibility wednesday .,secretary of state colin powell last week ruled out a nonaggression treaty .,True
66,"Thomas and Tauzin say , as do many doctors , that the Bush administration has the power to correct some of those flaws .","Like many doctors , Mr. Thomas and Mr. Tauzin say the Bush administration has the power to correct some of those flaws .",1,75,"thomas and tauzin say , as do many doctors , that the bush administration has the power to correct some of those flaws .","like many doctors , mr. thomas and mr. tauzin say the bush administration has the power to correct some of those flaws .",True
67,"Based on experience elsewhere , it could take up to two years before regular elections are held , he added .","U.S. military officials have said it could take up to two years before regular elections are held , based on experiences elsewhere in the world .",1,76,"based on experience elsewhere , it could take up to two years before regular elections are held , he added .","u.s. military officials have said it could take up to two years before regular elections are held , based on experiences elsewhere in the world .",True
68,"The first biotechnology treatment for asthma , the constriction of the airways that affects millions around the world , received approval from the US Food and Drug Administration yesterday .","The first biotechnology treatment for asthma , the constriction of the airways that affects millions of Americans , received approval from the U.S. Food and Drug Administration on Friday .",1,78,"the first biotechnology treatment for asthma , the constriction of the airways that affects millions around the world , received approval from the us food and drug administration yesterday .","the first biotechnology treatment for asthma , the constriction of the airways that affects millions of americans , received approval from the u.s. food and drug administration on friday .",True
69,"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations , U.S. officials said on Thursday .",A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations .,1,80,"fbi agents arrested a former partner of big four accounting firm ernst young erny.ul on criminal charges of obstructing federal investigations , u.s. officials said on thursday .",a former partner of accountancy firm ernst young was yesterday arrested by fbi agents in the us on charges of obstructing federal investigations .,True
70,Kelly will begin meetings with Russian Deputy Foreign Minister Alexander Losyukov in Washington on Monday .,Russian Deputy Foreign Minister Alexander Losyukov said in Moscow Tuesday a firm date would be fixed by this months end .,0,81,kelly will begin meetings with russian deputy foreign minister alexander losyukov in washington on monday .,russian deputy foreign minister alexander losyukov said in moscow tuesday a firm date would be fixed by this months end .,True
71,"The latest shooting linked to the spree was a November 11 shooting at Hamilton Central Elementary School in Obetz , about 3km from the freeway .","Another shooting linked to the spree occurred Nov. 11 at Hamilton Central Elementary in Obetz , about two miles from the freeway .",1,82,"the latest shooting linked to the spree was a november 11 shooting at hamilton central elementary school in obetz , about 3km from the freeway .","another shooting linked to the spree occurred nov. 11 at hamilton central elementary in obetz , about two miles from the freeway .",True
72,"The Dow Jones Industrial Average ended down 128 points , or 1.4 % , at 9073 , while the Nasdaq fell 34 points , or 2.1 % , to 1610 .","In early trading , the Dow Jones industrial average was up 3.90 , or 0.04 percent , at 9,113.75 , having gained 36.90 on Tuesday .",0,84,"the dow jones industrial average ended down 128 points , or 1.4 , at 9073 , while the nasdaq fell 34 points , or 2.1 , to 1610 .","in early trading , the dow jones industrial average was up 3.90 , or 0.04 percent , at 9,113.75 , having gained 36.90 on tuesday .",True
73,PDC will also almost certainly fan the flames of speculation about Longhorn 's release .,PDC will also almost certainly reignite speculation about release dates of Microsoft 's new products .,1,85,pdc will also almost certainly fan the flames of speculation about longhorn 's release .,pdc will also almost certainly reignite speculation about release dates of microsoft 's new products .,True
74,Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted .,It also disclosed that sales -- a figure closely watched by analysts as a barometer of its health -- were significantly higher than industry experts expected .,1,86,sales a figure watched closely as a barometer of its health rose 5 percent instead of falling as many industry experts had predicted .,it also disclosed that sales a figure closely watched by analysts as a barometer of its health were significantly higher than industry experts expected .,True
75,"NEC is pitching its wireless gear and management software to a variety of industries , including health care and hospitality .","NEC 's pitching its wireless gear and management software to a variety of industries , including healthcare and hospitality , a company spokesman said .",1,87,"nec is pitching its wireless gear and management software to a variety of industries , including health care and hospitality .","nec 's pitching its wireless gear and management software to a variety of industries , including healthcare and hospitality , a company spokesman said .",True
76,"Elena Slough , considered to be the nation 's oldest person and the third oldest person in the world , died early Sunday morning .","ELENA Slough , considered to be the oldest person in the US and the third oldest person in the world , has died .",1,88,"elena slough , considered to be the nation 's oldest person and the third oldest person in the world , died early sunday morning .","elena slough , considered to be the oldest person in the us and the third oldest person in the world , has died .",True
77,""" We are declaring war on sexual harassment and sexual assault .",""" We have declared war on sexual assault and sexual harassment , "" Rosa said .",1,89,""" we are declaring war on sexual harassment and sexual assault .",""" we have declared war on sexual assault and sexual harassment , "" rosa said .",True
78,"The technology-laced Nasdaq Composite Index < .IXIC > added 1.92 points , or 0.12 percent , at 1,647.94 .","The technology-laced Nasdaq Composite Index .IXIC dipped 0.08 of a point to 1,646 .",0,90,"the technologylaced nasdaq composite index .ixic added 1.92 points , or 0.12 percent , at 1,647.94 .","the technologylaced nasdaq composite index .ixic dipped 0.08 of a point to 1,646 .",True
79,"The dollar was at 117.85 yen against the Japanese currency , up 0.1 percent .","Against the Swiss franc the dollar was at 1.3289 francs , up 0.5 percent on the day .",0,91,"the dollar was at 117.85 yen against the japanese currency , up 0.1 percent .","against the swiss franc the dollar was at 1.3289 francs , up 0.5 percent on the day .",True
80,"El Watan , an Algerian newspaper , reported that the kidnappers fiercely resisted the army assault this morning , firing Kalashnikov rifles .","El Watan , an Algerian newspaper , reported that the kidnappers put up fierce resistance during the army assault , firing Kalashnikov rifles .",1,93,"el watan , an algerian newspaper , reported that the kidnappers fiercely resisted the army assault this morning , firing kalashnikov rifles .","el watan , an algerian newspaper , reported that the kidnappers put up fierce resistance during the army assault , firing kalashnikov rifles .",True
81,"But Mitsubishi Tokyo Financial ( JP : 8306 : news , chart , profile ) declined 3,000 yen , or 0.65 percent , to 456,000 yen .","Sumitomo Mitsui Financial ( JP : 8316 : news , chart , profile ) was down 2.5 percent at 198,000 yen .",0,94,"but mitsubishi tokyo financial jp 8306 news , chart , profile declined 3,000 yen , or 0.65 percent , to 456,000 yen .","sumitomo mitsui financial jp 8316 news , chart , profile was down 2.5 percent at 198,000 yen .",True
