,sentence1,sentence2,label,idx,noisy_sentence1,noisy_sentence2,noisy_pair,noise_flags_sentence1,noise_flags_sentence2,major_noise_sentence1,major_noise_sentence2,major_noisy_pair
142,"With all precincts reporting , Fletcher — a three-term congressman from Lexington — had an overwhelming 57 percent of the vote .","With all precincts reporting , Fletcher had 88,747 votes , or 57 percent of the total .",1,160,"with all precincts reporting , fletcher a threeterm congressman from lexington had an overwhelming 57 percent of the vote .","with all precincts reporting , fletcher had 88,747 votes , or 57 percent of the total .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
149,U.S. law enforcement officials are sneering at Dar Heatherington 's version of the events which thrust her into the public spotlight .,U.S. law enforcement officials are sneering at Dar Heatherington 's version of of the events -- including a police conspiracy to discredit her -- which thrust her into the public spotlight .,1,167,u.s. law enforcement officials are sneering at dar heatherington 's version of the events which thrust her into the public spotlight .,u.s. law enforcement officials are sneering at dar heatherington 's version of of the events including a police conspiracy to discredit her which thrust her into the public spotlight .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
192,"In the first three months of 2003 alone , weekly earnings adjusted for inflation fell 1.5 % -- the biggest drop in more than a decade , "" Lieberman said .","In the first quarter of this year , weekly earnings adjusted for inflation fell 1.5 percent - the biggest drop in more than a decade .",1,214,"in the first three months of 2003 alone , weekly earnings adjusted for inflation fell 1.5 the biggest drop in more than a decade , "" lieberman said .","in the first quarter of this year , weekly earnings adjusted for inflation fell 1.5 percent the biggest drop in more than a decade .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,False,True
216,"She told Murray , "" We ... we have ... the fresh air is going down fast ! """,""" The fresh air is going down fast ! "" she screamed at Murray .",1,241,"she told murray , "" we ... we have ... the fresh air is going down fast ! """,""" the fresh air is going down fast ! "" she screamed at murray .",True,"{'url': False, 'special_chars': False, 'redundant_dots': True, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
239,"Shares of AstraZeneca AZN.N , Europe 's second biggest drugmaker , rose 3.71 percent to close at $ 43.05 on the New York Stock Exchange .","Shares of AstraZeneca , Europe ’ s second biggest drug company , rose 3 per cent on the New York Stock Exchange after the news .",0,265,"shares of astrazeneca azn.n , europe 's second biggest drugmaker , rose 3.71 percent to close at 43.05 on the new york stock exchange .","shares of astrazeneca , europe s second biggest drug company , rose 3 per cent on the new york stock exchange after the news .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
277,They said : “ We believe that the time has come for legislation to make public places smoke-free .,""" The time has come to make public places smoke-free , "" they wrote in a letter to the Times newspaper .",1,304,they said we believe that the time has come for legislation to make public places smokefree .,""" the time has come to make public places smokefree , "" they wrote in a letter to the times newspaper .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
300,Clearly Roman creams of any type do not normally survive in the archaeological record .,"Clearly Roman creams of any type , paint or cosmetic , do not normally survive ... it 's pretty exceptional . """,1,329,clearly roman creams of any type do not normally survive in the archaeological record .,"clearly roman creams of any type , paint or cosmetic , do not normally survive ... it 's pretty exceptional . """,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': True, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
307,"The transfers would reduce P & G 's worldwide work force to slightly less than 100,000 .","The transfers would reduce P & G ’ s worldwide work force to slightly less than 100,000 , down from 110,000 several years ago .",0,338,"the transfers would reduce p g 's worldwide work force to slightly less than 100,000 .","the transfers would reduce p g s worldwide work force to slightly less than 100,000 , down from 110,000 several years ago .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
375,"Car volume fell 8 per cent , while light truck sales -- which include vans , pickups and SUVs -- rose 2.7 per cent .","Car volume was down 8 percent , while light truck sales--which include vans , pickups and SUVs--rose 2.7 percent .",1,419,"car volume fell 8 per cent , while light truck sales which include vans , pickups and suvs rose 2.7 per cent .","car volume was down 8 percent , while light truck saleswhich include vans , pickups and suvsrose 2.7 percent .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
410,"The announcement comes one day after Microsoft ’ s global security chief , Scott Charney , reiterated Microsoft ’ s promises to simplify the way it distributes patches to users .","The announcement comes one day after Scott Charney , Microsoft 's global security chief , reiterated Microsoft 's promises to simplify the way it distributes patches to customers .",1,456,"the announcement comes one day after microsoft s global security chief , scott charney , reiterated microsoft s promises to simplify the way it distributes patches to users .","the announcement comes one day after scott charney , microsoft 's global security chief , reiterated microsoft 's promises to simplify the way it distributes patches to customers .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
422,""" Qualcomm has enjoyed many years of selling ... against little or no competition , "" Hubach said in the statement .",""" Qualcomm has enjoyed many years of selling CDMA chips against little or no competition , "" said TI General Counsel Joseph Hubach .",1,470,""" qualcomm has enjoyed many years of selling ... against little or no competition , "" hubach said in the statement .",""" qualcomm has enjoyed many years of selling cdma chips against little or no competition , "" said ti general counsel joseph hubach .",True,"{'url': False, 'special_chars': False, 'redundant_dots': True, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
434,""" We have sent a message to the nation that this is a new Louisiana , "" she told a victory party in New Orleans .",""" We have sent a new message out to the nation — that this is a new Louisiana . """,1,484,""" we have sent a message to the nation that this is a new louisiana , "" she told a victory party in new orleans .",""" we have sent a new message out to the nation that this is a new louisiana . """,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
523,"Using bookmarks and back and forth buttons - we had about eighteen different things we had in mind for the browser , "" he told an industry audience in London yesterday .","Using bookmarks and back and forth buttons -- we had about eighteen different things we had in mind for the browser . """,1,583,"using bookmarks and back and forth buttons we had about eighteen different things we had in mind for the browser , "" he told an industry audience in london yesterday .","using bookmarks and back and forth buttons we had about eighteen different things we had in mind for the browser . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
524,"Against the dollar , the euro rose as high as $ 1.1535 -- a fresh four-year high -- in morning trade before standing at $ 1.1518 / 23 at 0215 GMT .","Against the dollar , the euro rose as high as $ 1.1537 , a fresh four-year high and up a half cent from around $ 1.1480 in late U.S. trade .",0,585,"against the dollar , the euro rose as high as 1.1535 a fresh fouryear high in morning trade before standing at 1.1518 23 at 0215 gmt .","against the dollar , the euro rose as high as 1.1537 , a fresh fouryear high and up a half cent from around 1.1480 in late u.s. trade .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,False,True
529,"At best , Davydenko 's supporters were naively ignorant of tennis etiquette ; at worst , they cheated - yet went without penality from umpire Lars Graf .","At best , Davydenko 's supporters were naively ignorant to tennis etiquette ; at worst , they cheated – yet went unpenalised by umpire Lars Graf .",1,590,"at best , davydenko 's supporters were naively ignorant of tennis etiquette at worst , they cheated yet went without penality from umpire lars graf .","at best , davydenko 's supporters were naively ignorant to tennis etiquette at worst , they cheated yet went unpenalised by umpire lars graf .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
539,"The Ireland Palestine Solidarity Campaign , of which Mr O Muireagáin was a member , welcomed his release .","The Ireland Palestine Solidarity Campaign , of which he was a member , said he was researching a schools exchange project .",0,603,"the ireland palestine solidarity campaign , of which mr o muireagáin was a member , welcomed his release .","the ireland palestine solidarity campaign , of which he was a member , said he was researching a schools exchange project .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
644,"Axcan 's shares closed down 63 Canadian cents , or 4 percent , at C $ 16.93 in Toronto on Tuesday .","Axcan 's shares were down 3.8 percent , or 66 Canadian cents , at C $ 16.90 in Toronto on Tuesday .",1,725,"axcan 's shares closed down 63 canadian cents , or 4 percent , at c 16.93 in toronto on tuesday .","axcan 's shares were down 3.8 percent , or 66 canadian cents , at c 16.90 in toronto on tuesday .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
651,The results will be published the July 10 issue of the journal Nature .,The results appear in Thursday ’ s issue of the journal Nature .,1,733,the results will be published the july 10 issue of the journal nature .,the results appear in thursday s issue of the journal nature .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
669,Sterling was down 0.8 percent against the dollar at $ 1.5875 GBP = .,The dollar rose 0.15 percent against the Japanese currency to 115.97 yen .,0,752,sterling was down 0.8 percent against the dollar at 1.5875 gbp .,the dollar rose 0.15 percent against the japanese currency to 115.97 yen .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
733,""" We have some small opportunities in November and maybe January , "" Mr. Parsons said optimistically .",""" I think we have some opportunities -- some small opportunities -- in November and possibly January , "" he said .",1,823,""" we have some small opportunities in november and maybe january , "" mr. parsons said optimistically .",""" i think we have some opportunities some small opportunities in november and possibly january , "" he said .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
769,"Baer said he had concluded that lawyers for the two victims "" have shown , albeit barely ... that Iraq provided material support to bin Laden and al-Qaeda "" .","Judge Harold Baer concluded Wednesday that lawyers for the two victims "" have shown , albeit barely ... that Iraq provided material support to bin Laden and al-Qaida . """,1,862,"baer said he had concluded that lawyers for the two victims "" have shown , albeit barely ... that iraq provided material support to bin laden and alqaeda "" .","judge harold baer concluded wednesday that lawyers for the two victims "" have shown , albeit barely ... that iraq provided material support to bin laden and alqaida . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': True, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': True, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
784,"Boykin ’ s also referred to Islamist fighters as America ’ s “ spiritual enemy ” that , “ will only be defeated if we come against them in the name of Jesus ” .","Our "" spiritual enemy , "" Boykin continued , "" will only be defeated if we come against them in the name of Jesus . """,1,878,"boykin s also referred to islamist fighters as america s spiritual enemy that , will only be defeated if we come against them in the name of jesus .","our "" spiritual enemy , "" boykin continued , "" will only be defeated if we come against them in the name of jesus . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
810,""" The same three Response Team members also met with Monsignor Grass , who while manifestly repentant , admitted that the allegations were true .",""" Monsignor Grass ... while manifestly repentant , admitted that the allegations were true , "" the statement said .",0,906,""" the same three response team members also met with monsignor grass , who while manifestly repentant , admitted that the allegations were true .",""" monsignor grass ... while manifestly repentant , admitted that the allegations were true , "" the statement said .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': True, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
843,The FBI is trying to determine when White House officials and members of the vice president ’ s staff first focused on Wilson and learned about his wife ’ s employment at the agency .,The FBI is trying to determine when White House officials and members of the vice president 's staff focused on Wilson and learned about his wife 's employment .,1,940,the fbi is trying to determine when white house officials and members of the vice president s staff first focused on wilson and learned about his wife s employment at the agency .,the fbi is trying to determine when white house officials and members of the vice president 's staff focused on wilson and learned about his wife 's employment .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
849,""" It 's safe to assume that the Senate is prepared to pass some form of cap , "" King said .",Its safe to assume the Senate is prepared to pass some form of a cap .... The level of it is to be debated .,0,946,""" it 's safe to assume that the senate is prepared to pass some form of cap , "" king said .",its safe to assume the senate is prepared to pass some form of a cap ... the level of it is to be debated .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': True, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
883,"They were held under Section 41 of the Terrorism Act 2000 on suspicion of involvement in the commission , preparation or instigation of acts of terrorism .","Badat was arrested under section 41 of the Terrorism Act “ on suspicion of involvement in the commission , preparation or instigation of acts of terrorism , ” Scotland Yard confirmed .",1,985,"they were held under section 41 of the terrorism act 2000 on suspicion of involvement in the commission , preparation or instigation of acts of terrorism .","badat was arrested under section 41 of the terrorism act on suspicion of involvement in the commission , preparation or instigation of acts of terrorism , scotland yard confirmed .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
886,"Florida 's Third District Court of Appeal saidon Wednesdaythe original proceedings were "" irretrievably tainted "" by misconduct by lawyers representing the class .",Florida ’ s Third District Court of Appeal said on Wednesday the original proceedings were “ irretrievably tainted ” by misconduct by attorneys for the class .,1,988,"florida 's third district court of appeal saidon wednesdaythe original proceedings were "" irretrievably tainted "" by misconduct by lawyers representing the class .",florida s third district court of appeal said on wednesday the original proceedings were irretrievably tainted by misconduct by attorneys for the class .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
891,While many likely now will quit – as millions of women already have – Soltes said she likely will continue to prescribe the supplements for relief of change-of-life symptoms .,While many likely now will quit - as millions of women already have - Soltes said she is likely to continue prescribing the supplements for relief of change-of-life symptoms .,1,994,while many likely now will quit as millions of women already have soltes said she likely will continue to prescribe the supplements for relief of changeoflife symptoms .,while many likely now will quit as millions of women already have soltes said she is likely to continue prescribing the supplements for relief of changeoflife symptoms .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,False,True
901,"Earlier on Monday , Grant Thornton SpA repeated previous statements that it was "" a victim of fraudulent action "" .",Grant Thornton claims that it too was the “ victim ” of a fraud .,1,1006,"earlier on monday , grant thornton spa repeated previous statements that it was "" a victim of fraudulent action "" .",grant thornton claims that it too was the victim of a fraud .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
952,""" Spring has arrived in Estonia -- we 're back in Europe , "" Prime Minister Juhan Parts told a news conference on Sunday .",""" Spring has arrived in Estonia - we 're back in Europe , "" Juhan Parts , prime minister , told a news conference last night .",1,1061,""" spring has arrived in estonia we 're back in europe , "" prime minister juhan parts told a news conference on sunday .",""" spring has arrived in estonia we 're back in europe , "" juhan parts , prime minister , told a news conference last night .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,False,True
958,The deficit is still expected to top $ 500 billion in 2004 -- even with an improving economy .,But Mr. Bolten cautioned that the deficit was still likely to exceed $ 500 billion in the 2004 fiscal year .,0,1068,the deficit is still expected to top 500 billion in 2004 even with an improving economy .,but mr. bolten cautioned that the deficit was still likely to exceed 500 billion in the 2004 fiscal year .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,False,True
991,He also accused royal courtiers of poisoning the brothers ’ “ little minds ” .,"He said the royal family has poisoned the princes ' "" little minds . """,1,1110,he also accused royal courtiers of poisoning the brothers little minds .,"he said the royal family has poisoned the princes ' "" little minds . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
1005,""" Mr Gilbertson would have been entitled to these superannuation payments irrespective of ... ( how ) he left the company , "" Mr Argus said .",""" Mr Gilbertson would have been entitled to these ( pension ) payments irrespective of the circumstances in which he left the company , "" Mr Argus said .",1,1127,""" mr gilbertson would have been entitled to these superannuation payments irrespective of ... how he left the company , "" mr argus said .",""" mr gilbertson would have been entitled to these pension payments irrespective of the circumstances in which he left the company , "" mr argus said .",True,"{'url': False, 'special_chars': True, 'redundant_dots': True, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,False,True
1033,""" I ´ m very proud of the citizens of this state , "" Gov. John Baldacci said after votes from Tuesday ´ s referendum were counted .",""" I 'm very proud of the citizens of this state , "" said Gov. John Baldacci , a casino foe .",0,1156,""" i m very proud of the citizens of this state , "" gov. john baldacci said after votes from tuesday s referendum were counted .",""" i 'm very proud of the citizens of this state , "" said gov. john baldacci , a casino foe .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
1034,The two blond opponents appeared almost identical in matching powder-blue outfits – to their dismay .,"The two blond opponents appeared almost identical because they wore matching powder-blue outfits - to their dismay . """,1,1157,the two blond opponents appeared almost identical in matching powderblue outfits to their dismay .,"the two blond opponents appeared almost identical because they wore matching powderblue outfits to their dismay . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,False,True
1055,Bolland told the News of the World : “ I was astonished at Sir Michael ’ s question .,"Mr Bolland said : "" I was astonished at Sir Michael 's question .",1,1181,bolland told the news of the world i was astonished at sir michael s question .,"mr bolland said "" i was astonished at sir michael 's question .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,False,True
