,sentence1,sentence2,label,idx,noisy_sentence1,noisy_sentence2,noisy_pair,noise_flags_sentence1,noise_flags_sentence2,major_noise_sentence1,major_noise_sentence2,major_noisy_pair
30,Trading in Loral was halted yesterday ; the shares closed on Monday at $ 3.01 .,"The New York Stock Exchange suspended trading yesterday in Loral , which closed at $ 3.01 Friday .",1,35,trading in loral was halted yesterday the shares closed on monday at 3.01 .,"the new york stock exchange suspended trading yesterday in loral , which closed at 3.01 friday .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
33,Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things off on Monday .,Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .,1,38,retailers j.c. penney co . inc . jcp and walgreen co . wag kick things off on monday .,retailers j.c. penney co . inc . jcp.n and walgreen co . wag.n kick things off on monday .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
35,"Last year the court upheld Cleveland 's school voucher program , ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools .","Last year , the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools .",1,40,"last year the court upheld cleveland 's school voucher program , ruling 54 that vouchers are constitutional if they provide parents a choice of religious and secular schools .","last year , the court ruled 54 in an ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
39,"The US chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 .","The Americas market will decline 2.1 percent to $ 30.6 billion in 2003 , and then grow 15.7 percent to $ 35.4 billion in 2004 .",1,44,"the us chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 .","the americas market will decline 2.1 percent to 30.6 billion in 2003 , and then grow 15.7 percent to 35.4 billion in 2004 .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
41,"The commission must work out the plan 's details , but the average residential customer paying $ 840 a year would get a savings of about $ 30 annually .",An average residential customer paying $ 840 a year for electricity could see a savings of $ 30 annually .,0,46,"the commission must work out the plan 's details , but the average residential customer paying 840 a year would get a savings of about 30 annually .",an average residential customer paying 840 a year for electricity could see a savings of 30 annually .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
43,Results from No. 2 U.S. soft drink maker PepsiCo Inc . PEP.N were likely to be in the spotlight .,Results from No. 2 U.S. soft drink maker PepsiCo Inc . ( nyse : PEP - news - people ) were likely to be in the spotlight .,1,48,results from no. 2 u.s. soft drink maker pepsico inc . pep.n were likely to be in the spotlight .,results from no. 2 u.s. soft drink maker pepsico inc . nyse pep news people were likely to be in the spotlight .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",False,True,True
45,"The songs are on offer for 99 cents each , or $ 9.99 for an album .",The company will offer songs for 99 cents and albums for $ 9.95 .,1,51,"the songs are on offer for 99 cents each , or 9.99 for an album .",the company will offer songs for 99 cents and albums for 9.95 .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
46,"However , the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive .","The talk , however , has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive .",1,52,"however , the talk was downplayed by pbl which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive .","the talk , however , has been downplayed by pbl which said it would focus only on smaller purchases that were immediately earnings and cash flowaccretive .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
47,Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market .,The stock rose 48 cents to $ 30 yesterday in Nasdaq Stock Market trading .,1,53,comcast class a shares were up 8 cents at 30.50 in morning trading on the nasdaq stock market .,the stock rose 48 cents to 30 yesterday in nasdaq stock market trading .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
48,The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s appearance .,"The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president 's appearance , Crosby said .",1,56,the washington post said airlite would shut down its first shift and parts of the second shift monday to accommodate the president s appearance .,"the plant plans to shut down its first shift and parts of the second shift monday to accommodate the president 's appearance , crosby said .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
50,Several of the questions asked by the audience in the fast-paced forum were new to the candidates .,Several of the audience questions were new to the candidates as well .,1,58,several of the questions asked by the audience in the fastpaced forum were new to the candidates .,several of the audience questions were new to the candidates as well .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
52,The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein 's fallen regime .,"Twenty-seven Iraqis were killed , pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein 's fallen regime .",0,60,the battles marked day four of a u.s. sweep to hunt down supporters of saddam hussein 's fallen regime .,"twentyseven iraqis were killed , pushing the number of opposition deaths to about 100 in a u.s. operation to hunt down supporters of saddam hussein 's fallen regime .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
53,"The women then had follow-up examinations after five , 12 and 24 years .","The women had follow-up examinations in 1974-75 , 1980-81 and 1992-93 , but were not asked about stress again .",0,61,"the women then had followup examinations after five , 12 and 24 years .","the women had followup examinations in 197475 , 198081 and 199293 , but were not asked about stress again .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
56,"Application Intelligence will be included as part of the company 's SmartDefense application , which is included with Firewall-1 .","The new application intelligence features will be available June 3 and are included with the SmartDefense product , which comes with FireWall-1 .",0,64,"application intelligence will be included as part of the company 's smartdefense application , which is included with firewall1 .","the new application intelligence features will be available june 3 and are included with the smartdefense product , which comes with firewall1 .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
57,"American Masters : Arthur Miller , Elia Kazan and the Blacklist : None Without Sin ( Wed .","Note the subheading of this terrible parable in the "" American Masters "" series , "" Arthur Miller , Elia Kazan and the Blacklist : None Without Sin . """,0,65,"american masters arthur miller , elia kazan and the blacklist none without sin wed .","note the subheading of this terrible parable in the "" american masters "" series , "" arthur miller , elia kazan and the blacklist none without sin . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
62,"The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call "" disturbing "" abuse of juveniles and "" unconscionable "" conditions at two state-run facilities .","The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi , alleging abuse of juvenile offenders at two state-run facilities .",0,70,"the justice department filed suit thursday against the state of mississippi for failing to end what federal officials call "" disturbing "" abuse of juveniles and "" unconscionable "" conditions at two staterun facilities .","the justice department filed a civil rights lawsuit thursday against the state of mississippi , alleging abuse of juvenile offenders at two staterun facilities .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
63,It said the damage to the wing provided a pathway for hot gasses to penetrate the ship 's thermal armor during Columbia 's ill-fated reentry .,The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia 's thermal armour during its fatal re-entry .,1,71,it said the damage to the wing provided a pathway for hot gasses to penetrate the ship 's thermal armor during columbia 's illfated reentry .,the document says the damage to the wing provided a pathway for hot gases to penetrate columbia 's thermal armour during its fatal reentry .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
64,"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O 'Neill 's family drama , "" Long Day 's Journey Into Night . ""","Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama , Long Days Journey Into Night . """,1,72,"also demonstrating boxoffice strength _ and getting seven tony nominations _ was a potent revival of eugene o 'neill 's family drama , "" long day 's journey into night . ""","also demonstrating boxoffice strength and getting seven tony nominations was a potent revival of eugene oneills family drama , long days journey into night . """,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
65,But Secretary of State Colin Powell brushed off this possibility Wednesday .,Secretary of State Colin Powell last week ruled out a non-aggression treaty .,1,74,but secretary of state colin powell brushed off this possibility wednesday .,secretary of state colin powell last week ruled out a nonaggression treaty .,True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
69,"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations , U.S. officials said on Thursday .",A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations .,1,80,"fbi agents arrested a former partner of big four accounting firm ernst young erny.ul on criminal charges of obstructing federal investigations , u.s. officials said on thursday .",a former partner of accountancy firm ernst young was yesterday arrested by fbi agents in the us on charges of obstructing federal investigations .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
72,"The Dow Jones Industrial Average ended down 128 points , or 1.4 % , at 9073 , while the Nasdaq fell 34 points , or 2.1 % , to 1610 .","In early trading , the Dow Jones industrial average was up 3.90 , or 0.04 percent , at 9,113.75 , having gained 36.90 on Tuesday .",0,84,"the dow jones industrial average ended down 128 points , or 1.4 , at 9073 , while the nasdaq fell 34 points , or 2.1 , to 1610 .","in early trading , the dow jones industrial average was up 3.90 , or 0.04 percent , at 9,113.75 , having gained 36.90 on tuesday .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
74,Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted .,It also disclosed that sales -- a figure closely watched by analysts as a barometer of its health -- were significantly higher than industry experts expected .,1,86,sales a figure watched closely as a barometer of its health rose 5 percent instead of falling as many industry experts had predicted .,it also disclosed that sales a figure closely watched by analysts as a barometer of its health were significantly higher than industry experts expected .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
78,"The technology-laced Nasdaq Composite Index < .IXIC > added 1.92 points , or 0.12 percent , at 1,647.94 .","The technology-laced Nasdaq Composite Index .IXIC dipped 0.08 of a point to 1,646 .",0,90,"the technologylaced nasdaq composite index .ixic added 1.92 points , or 0.12 percent , at 1,647.94 .","the technologylaced nasdaq composite index .ixic dipped 0.08 of a point to 1,646 .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
81,"But Mitsubishi Tokyo Financial ( JP : 8306 : news , chart , profile ) declined 3,000 yen , or 0.65 percent , to 456,000 yen .","Sumitomo Mitsui Financial ( JP : 8316 : news , chart , profile ) was down 2.5 percent at 198,000 yen .",0,94,"but mitsubishi tokyo financial jp 8306 news , chart , profile declined 3,000 yen , or 0.65 percent , to 456,000 yen .","sumitomo mitsui financial jp 8316 news , chart , profile was down 2.5 percent at 198,000 yen .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
83,Shares of Hartford rose $ 2.88 to $ 46.50 in New York Stock Exchange composite trading .,"Shares of Hartford were up $ 2.28 , or 5.2 percent , to $ 45.90 in midday trading .",1,96,shares of hartford rose 2.88 to 46.50 in new york stock exchange composite trading .,"shares of hartford were up 2.28 , or 5.2 percent , to 45.90 in midday trading .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
87,"Tuition at four-year private colleges averaged $ 19,710 this year , up 6 percent from 2002 .","For the current academic year , tuition at public colleges averaged $ 4,694 , up almost $ 600 from the year before .",1,100,"tuition at fouryear private colleges averaged 19,710 this year , up 6 percent from 2002 .","for the current academic year , tuition at public colleges averaged 4,694 , up almost 600 from the year before .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
89,"He said that with the U.S.-backed peace plan , or road map , “ in a coma , ” the attack could easily widen conflict through the region .","Mr Jouejati said that with the US-backed road map "" in a coma "" the attack could easily widen through the region .",1,103,"he said that with the u.s.backed peace plan , or road map , in a coma , the attack could easily widen conflict through the region .","mr jouejati said that with the usbacked road map "" in a coma "" the attack could easily widen through the region .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
95,Tonight a spokesman for Russia 's foreign ministry said the ministry may issue a statement on Thursday clarifying Russia 's position on cooperation with Iran 's nuclear-energy efforts .,Tonight a spokesman for the Russian Foreign Ministry said it might issue a statement on Thursday clarifying Russia 's position on aiding Iran 's nuclear-energy efforts .,1,109,tonight a spokesman for russia 's foreign ministry said the ministry may issue a statement on thursday clarifying russia 's position on cooperation with iran 's nuclearenergy efforts .,tonight a spokesman for the russian foreign ministry said it might issue a statement on thursday clarifying russia 's position on aiding iran 's nuclearenergy efforts .,True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,True,True
96,"A day earlier , a committee appointed by reformist President Mohammad Khatami called for an independent judicial inquiry into Kazemi 's death .","A day earlier , a committee appointed by President Mohammad Khatami had called for an independent inquiry into the 54-year-old photojournalist 's death .",1,110,"a day earlier , a committee appointed by reformist president mohammad khatami called for an independent judicial inquiry into kazemi 's death .","a day earlier , a committee appointed by president mohammad khatami had called for an independent inquiry into the 54yearold photojournalist 's death .",True,"{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",False,True,True
97,"The suite comes complete with a word processor , spreadsheet , presentation software and other components , while continuing its tradition of utilizing an XML-based file format .","The suite includes a word processor , spreadsheet , presentation application ( analogous to PowerPoint ) , and other components -- all built around the XML file format .",1,111,"the suite comes complete with a word processor , spreadsheet , presentation software and other components , while continuing its tradition of utilizing an xmlbased file format .","the suite includes a word processor , spreadsheet , presentation application analogous to powerpoint , and other components all built around the xml file format .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}",True,True,True
98,"Downstream at Mount Vernon , the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight , Burke said .","The Skagit was expected to crest during the night at 38 feet at Mount Vernon , 10 feet above flood stage , the National Weather Service said .",1,112,"downstream at mount vernon , the skagit river was expected to crest at 36 feet 8 feet above flood stage tonight , burke said .","the skagit was expected to crest during the night at 38 feet at mount vernon , 10 feet above flood stage , the national weather service said .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': True, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
99,"The blue-chip Dow Jones industrial average eased 44 points , or 0.47 percent , to 9,543 , after scoring five consecutive up sessions .","The Dow Jones industrial average .DJI rose 18.25 points , or 0.19 percent , to 9,586.71 .",0,113,"the bluechip dow jones industrial average eased 44 points , or 0.47 percent , to 9,543 , after scoring five consecutive up sessions .","the dow jones industrial average .dji rose 18.25 points , or 0.19 percent , to 9,586.71 .",True,"{'url': False, 'special_chars': True, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}","{'url': False, 'special_chars': False, 'redundant_dots': False, 'contractions': False, 'extra_spaces': False, 'casing': True}",True,False,True
