,sentence1,sentence2,label,predicted_label
44,"on july 22 , moore announced he would appeal the case directly to the .. supreme court .",moore of alabama says he will appeal his case to the nation ' highest court .,1,False
45,"the broad standard & poor ' 500 index .spx gained 19.72 points , or .98 percent , to ,015.69 .","the dow jones industrial average .dji jumped .09 percent , while the standard & poor ' 500 index .spx leapt .23 percent .",0,False
46,"thanks to the euro ' rise against the japanese currency , the dollar was at 117.24 yen , well above the overnight 10-month low of 116 yen .","the euro ' rise against the yen and speculation of japanese intervention helped the dollar firm to 117.25 yen , well above  10-month low of 116 yen hit on thursday .",0,dollar at 117
47,"thursday afternoon , the standard & poor ' 500-stock index was trading up just .48 points , or . percent , to ,049.59 .","stocks closed largely unchanged , with the standard & poor ' 500-stock index dipping .17 points , to ,046.94 .",0,True
48," they were chipping away at the concrete to get to the body ,  said chris butler , who lives across the street .","investigators  were chipping away at the concrete to get to the body ,  said chris butler , who lives across the street in the quiet city neighborhood .",1,True
49,"nicholas is the uncle of louima , the haitian immigrant who was sexually tortured by nypd cops in 1997 .","mr. nicolas is an uncle of abner louima , who was tortured by new york city police officers in 1997 .",1,False
50,the procedure is generally performed in the second or third trimester .,"the technique is used during the second and , occasionally , third trimester of pregnancy .",1,False
51," just sitting around in  big base camp , knocking back cans of beer ,  don ' particularly regard as mountaineering ,  he added .", sitting around in base camp knocking back cans of beer - that  don ' particularly regard as mountaineering . ,1,just sitting around in
52,"she survives him as do their four children  sons anthony and kelly , daughters linda hope and nora somers  and four grandchildren .",hope is survived by his wife ; sons anthony and kelly ; daughters linda and nora somers ; and four grandchildren .,1,True
53,"it exploded in his hands , but the former italian prime minister was unhurt .",the letter bomb sent to prodi exploded in his hands but he was unhurt .,1,False
54,the british foreign office said monday that coalition authorities in iraq were pleased that the men were freed .,the british foreign office said it had mediated the two men ' release .,0,True
55,"now , with the agency ' last three shuttles grounded in the wake of the columbia disaster , that wait could be even longer .","with the remaining three shuttles grounded in the wake of the columbia accident , the rookies will have to wait even longer .",1,False
56,israeli soldiers knocked down empty mobile homes and water towers in 10 tiny west bank settlement outposts overnight as part of  us-backed mideast peace plan .,israeli soldiers began tearing down settlement outposts in the west bank yesterday - an israeli obligation under  new mideast peace plan .,1,israeli soldiers
57," these documents are indecipherable to me , and the fact is that this investigation has led nowhere ,  the lawyer said ."," these documents are indecipherable to me ,  the lawyers said ,  and the fact is that this investigation has led nowhere . ",1,False
58,"the latest snapshot of the labor markets was slightly better than economists were expecting ; they were forecasting claims to fall no lower than 410,000 for last week .","despite problems in the job market , the latest snapshot of the labor markets was slightly better than economists were expecting .",0,False
59,"another body was pulled from the water on thursday and two seen floating down the river could not be retrieved due to the strong currents , local reporters said .","two more bodies were seen floating down the river on thursday , but could not be retrieved due to the strong currents , local reporters said .",1,True
60,"those reports were denied by the interior minister , prince nayef .","however , the saudi interior minister , prince nayef , denied the reports .",1,False
61,"other members of the organization are believed to be in pakistani cities , and many of the arrests of key al-qaida operatives have taken place in those areas .","other members of the organization are believed to be in pakistani cities , where many of the arrests of key al qaeda operatives have taken place .",1,True
62," our decision today is quite limited ,  the judges stated in their opinion ."," our decision today is quite limited ,  they conclude .",1,True
63,the woman had agreed to testify after receiving immunity protecting her from punishment for lying and other violations of the academy ' honor code .,the defense said the woman testified under an immunity deal protecting her from punishment for lying and other violations of the academy ' honor code .,1,woman agreed to test
64,"under terms of the deal , legato stockholders will receive . of  share of emc common stock for each share of legato stock .",legato stockholders will get . of  share of emc stock for every share of legato they own .,1,True
65," our prognosis for  continued and steady recovery is being realized , and the outlook remains bright ,  bureau ceo greg stuart says ."," our prognosis for  continued and steady recovery is being realized and the outlook remains bright ,  said greg stuart , president and ceo of the iab .",1,True
66,kingston also finished with 67 after producing six birdies on the back nine .,south africa ' james kingston is also on five under after blitzing six birdies on his back nine .,1,True
67, at least two of them were supposed to be in positions of leadership for the younger boys .," at least two of [ the suspects ] were supposed to be in positions of leadership ,  he said .",1,True
68,"ms lafferty ' lawyer , thomas ezzell , told  kentucky newspaper :  my understanding of this is that there is  lower percentage of successful impregnations with frozen ."," my understanding of this is that there is  lower percentage of successful impregnations with frozen ,  ezzell said .",1,True
69,its canadian operations only buy beef from facilities that are federally inspected and approved by the canadian food inspection agency ., mcdonald ' canada only purchases beef from facilities federally inspected and approved by the canadian food inspection agency . ,1,True
70,agriculture ministers from more than one hundred nations are expected to attend the three-day ministerial conference and expo on agricultural science and technology sponsored by the .. department of agriculture .,.. agriculture secretary ann veneman kicks off the three-day ministerial conference and expo on agricultural science and technology on monday .,0,True
71,"while there were about 700 uruguayan un peacekeepers in bunia , they were  neither trained nor equipped  to deal with inter-ethnic violence , mr eckhard said .","the un has approximately 600 troops in the town , but they were  neither trained nor equipped  to deal with inter-ethnic violence , mr eckhard said .",1,False
72,"shares of coke were down 49 cents , or . percent , at $ 43.52 in early trading friday on the new york stock exchange .","in late morning trading , coke shares were down  cents at $ 43.99 on the new york stock exchange .",1,True
73,"nasiriya , iraq — iraqi doctors who treated former prisoner of war jessica lynch have angrily dismissed claims made in her biography that she was raped by her iraqi captors .",former prisoner of war pfc. jessica lynch is winning admiration in her hometown all over again for the courage to reveal she was raped by her iraqi captors .,0,True
74,"if people took the pill daily , they would lower their risk of heart attack by 88 percent and of stroke by 80 percent , the scientists claim .","taking the pill would lower the risk of heart attack by 88 percent and of stroke by 80 percent , the scientists said .",1,True
75,"amgen shares gained 93 cents , or .45 percent , to $ 65.05 in afternoon trading on nasdaq .",shares of allergan were up 14 cents at $ 78.40 in late trading on the new york stock exchange .,1,False
76,"from the start , however , the united states ' declared goal was not just to topple saddam but to stabilize iraq and install  friendly government .",but the united states ' ultimate goal was not just to topple mr. hussein but to stabilize the country and install  friendly government .,1,True
77,"customers that pay the $ ,219 entrance fee get sms 2003 with 10 device client access licenses .","retail pricing for sms 2003 with 10 device client access licenses is $ ,219 .",1,True
78,"it was the best advance since oct.  , when the index gained 22.25 .","standard & poor ' 500 index rose 15.66 to ,046.79 , its best advance since oct.  , when it gained 22.25 .",0,True
79," americans don ' cut and run , we have to see this misadventure through ,  she said .","she also pledged to bring peace to iraq :  americans don ' cut and run , we have to see this misadventure through . ",0,True
80,msn messenger  will be available for download starting at  .. gmt on wednesday from http : / / messenger.msn.com / download / v6preview.asp.,"the msn messenger  software will be available from 11 .. pst on wednesday , according to microsoft .",1,True
81,"if shelley certifies enough are valid , the lieutenant governor must call an election within 60 to 80 days , setting the state into uncharted political waters .","if the democrat certifies that there are enough valid signatures , the lieutenant governor must call an election within 60 to 80 days .",0,False
82,the most serious breach of royal security in recent years occurred in 1982 when 30-year-old michael fagan broke into the queen ' bedroom at buckingham palace .,"it was the most serious breach of royal security since 1982 when an intruder , michael fagan , found his way into the queen ' bedroom at buckingham palace .",1,True
83,shares of lendingtree rose 22 cents to $ 14.69 and have risen 14 percent this year .,"shares of lendingtree rose $ .03 , or 41 percent , to close at $ 20.72 on the nasdaq stock market yesterday .",0,True
84,"during  screaming match in 1999 , carolyn told john she was still sleeping with bergin .","she , in turn , occasionally told john that she was still sleeping with an ex-boyfriend ,  baywatch  hunk michael bergin .",0,True
85," the vulnerabilities all relate to  lack of effective faa oversight that needs to be improved ,  the report said ."," these vulnerabilities all relate to  lack of effective faa oversight and , if not corrected , could lead to an erosion of safety ,  said the report .",0,True
86,the network is also dropping its friday night  dateline  edition .,"the network will drop one edition of  dateline ,  its newsmagazine franchise .",1,True
87,"  ' real excited to be  cleveland cavalier ,  james said .","  ' really excited about going to cleveland ,  james told espn.com.",1,False
88,russ britt is the los angeles bureau chief for cbs.marketwatch.com.,emily church is london bureau chief of cbs.marketwatch.com.,0,True
89,"the others were abn amro aah.as , ing ing.as , goldman sachs gs. and rabobank [ rabn.ul ] .","the five main banks are abn amro aah.as , ing ing.as , .. morgan jpm. , goldman sachs gs. and rabobank [ rabn.ul ] .",1,True
90,"worldcom ' accounting problems came to light early last year , and the company filed for bankruptcy in july 2002 , citing massive accounting irregularities .","worldcom ' financial troubles came to light last year and the company subsequently filed for bankruptcy in july , 2002 .",0,False
91,they were at raffles hospital over the weekend for further evaluation .,"they underwent more tests over the weekend , and are now warded at raffles hospital .",1,False
92,"rich media doubled its share , increasing from  % in q2 2002 to  % in q2 2003 .","rich media interactive ad formats doubled their share from  % in second quarter of 2002 , to  % in the second quarter of 2003 .",1,True
93,"she first went to  specialist for initial tests last monday , feeling tired and unwell .","the star , who plays schoolgirl nina tucker in neighbours , went to  specialist on june 30 feeling tired and unwell .",0,False
94,supermarket chains facing  possible grocery clerk strike this week accused union leaders monday of breaking off contract talks prematurely over the weekend .,supermarket chains are accusing union leaders of breaking off contract talks prematurely over the weekend as grocery clerks gear up for  possible strike .,1,False
95,"mgm , nbc and liberty executives were not immediately available for comment .", microsoft spokesman was not immediately available to comment .,0,True
96,the adrs fell 10 cents to $ 28.95 at 10 : 06 .. in new york stock exchange composite trading today .,"shares of fox entertainment group inc . , news corp. '  .. media and entertainment arm , fell 45 cents to $ 26.85 in new york stock exchange composite trading .",0,True
97,"don asper called the attack  bothersome ,  before he and his wife contacted the firm ' web site provider to replace the vandalized page .","in  telephone interview , don asper called the attack  bothersome ,  before he and his wife contacted the firm ' web site provider to have the vandalised page replaced .",1,don asper called
98,hilsenrath and klarman each were indicted on three counts of securities fraud .,klarman was charged with 16 counts of wire fraud .,0,False
99,york had no problem with mta ' insisting the decision to shift funds had been within its legal rights .,york had no problem with mta ' saying the decision to shift funds was within its powers .,1,york had no problem
100,"licensing revenue slid 21 percent , however , to $ 107. million .","license sales ,  key measure of demand , fell 21 percent to $ 107. million .",1,True
101,"in his speech , cheney praised barbour ' accomplishments as chairman of the republican national committee .",cheney returned barbour ' favorable introduction by touting barbour ' work as chair of the republican national committee .,1,cheney returned
102,"if the magazine lost more than $ . million in  fiscal year ,  'donnell would be allowed to quit .","if rosie lost more than $ . million in  fiscal year ,  'donnell - by contract - would have been permitted to quit .",1,if the magazine
103,"the upcoming second-quarter earnings season will be particularly important in offering investors guidance , they say .",they say second-quarter earnings reports will be key in giving investors that guidance .,1,True
104,"during her two days of meetings , rocca will not meet the rebels since they are banned by the united states as   terrorist organisation  .","during her two-day visit , rocca will not meet the rebels since the united states has banned them as   terrorist organisation  .",1,True
105,"nationally , the federal centers for disease control and prevention recorded ,156 cases of west nile , including 284 deaths .","there were 293 human cases of west nile in indiana in 2002 , including 11 deaths statewide .",0,True
106,"the blue-chip dow jones industrial average .dji added 38 points , or .42 percent , to ,165 .","the dow jones industrial average [ $ indu ] ended at session highs , gaining 64.64 points , or . percent , to ,191.09 .",1,True
107,"by the time the two-term president left office in 1989 , the navy had nearly 600 shipsabout twice the ships it has today .","by the time that reagan left office in 1989 , the navy had nearly 600 ships - about twice the number that it has today .",1,two-term president
108,we are piloting it there to see whether we roll it out to other products .,macromedia is piloting this product activation system in contribute to test whether to roll it out to other products .,1,True
109,this issue is unlikely to be resolved until lawmakers return from their summer recess in early september .,the issue is unlikely to be resolved until congress reconvenes in early september .,1,False
110," we will clearly modify some features of our plans as well as their administration ,  mr. reed said in his letter ."," we will clearly modify some features of our plans as well as their administration ,  reed said in  letter to the nyse ' ,366 members .",1,True
111,"the index also did better than the standard & poor ' 500 index , which increased . percent .","the broader standard & poor ' 500 index was up .05 points , or .94 percent , at 972.64 .",0,True
112,"scrimshaw , supervisor , best minister and ten most wanted are expected to complete the belmont field .","best minister , scrimshaw , and ten most wanted all had workouts on monday morning .",0,False
113,"judge gerald . heaney , in dissent , said the authorities should have allowed the prisoner to be medicated without the consequence of execution .","in dissent , judge gerald . heaney said the authorities should have allowed mr. singleton to be medicated without the consequence of execution .",1,True
114,that was  cents higher than the expectations of analysts surveyed by thomson first call .,the per-share earnings were also  cents per share higher than the expectations of analysts surveyed by thomson first call .,1,True
115," the gpl violates the .. constitution , together with copyright , antitrust and export control laws , and ibms claims based thereon , or related thereto , are barred . ","sco ' filings also assert that  the gpl violates the .. constitution , together with copyright , antitrust and export control laws . ",0,False
116,nasa plans to follow-up the rovers ' missions with additional orbiters and landers before launching  long-awaited sample-return flight .,nasa plans to explore the red planet with ever more sophisticated robotic orbiters and landers .,0,False
117,"the broader standard & poor ' 500 index .spx crept up . points , or .44 percent , to 980.52 .","the technology-laced nasdaq composite index .ixic rose 17.33 points , or .07 percent , to ,640.13 .",0,True
118,"garner said the self-proclaimed mayor of baghdad , mohammed mohsen al-zubaidi , was released after two days in coalition custody .",garner said self-proclaimed baghdad mayor mohammed mohsen zubaidi was released 48 hours after his detention in late april .,0,True
119,"in  statement , microsoft said the dividend is payable nov.  to shareholders of record on oct. 17 .","the dividend , the company ' second this calendar year , is payable on nov.  to shareholders of record at the close of business oct. 17 .",1,True
120,she asked to be excused from last week ' cabinet session to prepare for  meeting with the presidents of rwanda and uganda .,she took the highly unusual step of skipping cabinet to attend  meeting with the presidents of rwanda and uganda .,1,False
121,"in  not-too-subtle swipe at dean , he predicted americans would not elect  democrat  who sounds an uncertain trumpet in these dangerous times . ",they will not elect as president  democrat who sounds an uncertain trumpet in these dangerous times . ,0,False
122,the jury asked for transcripts of quattrone ' testimony about his role in the ipo allocation process .,the jury asked to have mr. quattrone ' testimony about his role in the allocation of stock offerings read to them .,1,quattrone
123, have no doubt whatever that the evidence of iraqi weapons of mass destruction will be there .,  have said throughout  have absolutely no doubt about the existence of weapons of mass destruction .,1,True
124,albertsons and kroger ' ralphs chain locked out their workers in response .,kroger ' ralphs chain and albertsons immediately locked out their grocery workers in  show of solidarity .,1,True
125,it later emerged that he had broken his right thigh and bones in his right wrist and elbow .,tour doctors later confirmed that he had broken his right leg near the hip and also sustained wrist and elbow fractures .,1,False
126,court judge robert sweet said the plaintiffs failed  to draw an adequate casual connection between the consumption of mcdonald ' food and their alleged injuries . ,the judge in .. district court in manhattan said the plaintiffs had failed  to draw an adequate casual connection between the consumption of mcdonald ' food and their alleged injuries . ,1,judge rober
127," neighbor said  duffel bag containing  woman ' body was dug up , and the other body was encased in concrete ."," neighbor said  woman ' body was dug up in  duffel bag , and the other was encased in concrete .",1,a paraphrase
128,"at least five class-action lawsuits have been filed , including one in pennsylvania .",at least five class-action lawsuits have been filed on behalf of hormone users .,0,True
129,southwest said it completed inspections of its entire fleet of 385 aircraft  all 737s  and found no additional items .,southwest said it had already inspected its fleet of 385 aircraft and found no additional suspicious items .,1,False
130,semiconductor giant intel corp. said yesterday that its second-quarter profits doubled from  year ago as stronger-than-expected demand for computer microprocessors offset the weakness of its communications chip business .,intel corp. '  second-quarter profits doubled and revenues grew  percent from  year ago as the chip-making giant reported stronger-than-expected demand for personal computer microprocessors .,0,intel corp.
131,the south korean agriculture and forestry ministry also said it would throw out or send back all canadian beef currently in store .,the south korean agriculture and forestry ministry said it would scrap or return all canadian beef in store .,1,True
132," it appears from our initial report that this was  textbook landing considering the circumstances ,  burke said .",said mr. burke :  it was  textbook landing considering the circumstances . ,0,True
133,"by sunday night , the fires had blackened 277,000 acres , hundreds of miles apart .","major fires had burned 264,000 acres by early last night .",0,True
134, the domino application server is going to be around for at least the next decade . ," the domino application server will be around for the next decade ,  he said .",1,True
135,"the technology-laced nasdaq composite index .ixic shed 15 points , or .98 percent , to ,492 .","the broader standard & poor ' 500 index edged down  points , or .98 percent , to 921 .",0,True
136,sequent representatives could not immediately be reached for comment on the sco announcement ., spokesman for sco could not be reached for comment this afternoon .,1,True
137,"ccag supported bill curry , rowland ' opponent in the 2002 gubernatorial election .","mr. swan ' group supported the governor ' democratic opponent , bill curry , in the 2002 election .",1,ccag supported
138,the study is being published today in the journal science .,their findings were published today in science .,1,False
139," the panel told the .. to correct its flawed determination ,  said pierre pettigrew , canada ' trade minister , in  statement ."," the panel told the .. to correct its flawed determination ,  mr. pettigrew said in  statement .",1,True
140,kay was sent to iraq to co-ordinate efforts to find the weapons that us intelligence reported before the invasion that ousted iraqi president saddam hussein had .,kay was sent to iraq this summer to coordinate efforts to find the weapons that .. intelligence reported before the war that saddam hussein had .,1,True
141," it '  recognition that we were provided faulty information ,  tom daschle , the senate democratic leader , told reporters ."," it '  recognition that we were provided faulty information ,  senate democratic leader tom daschle of south dakota told reporters .",1,senate
142,"monday ' attacks monday were among the deadliest against americans since sept . 11 , 2001 .",they were the deadliest terrorist attacks against americans since september 11 .,1,monday '
143,the mdc called the strike to force mr mugabe to either resign or negotiate  settlement of the zimbabwe crisis .,the mdc called the week-long protest to urge mugabe either to resign or to negotiate  settlement of the crisis gripping the country .,1,False
144,police and school officials agreed last week to step up police presence in response to reports of increased violence and gang activity .,police met with school officials oct. 24 and agreed to increase their presence after reports of increased violence and gang activity .,1,True
145," we started our investigation of the child porn ring last year in august and soon realized that it was  big thing ,  mr. beer said ."," we started our investigation of the child porn ring last year in august and soon realised that it was  big thing ,  mr beer told  packed press conference .",1,True
146,"actor arnold schwarzenegger is leaving backers in suspense , and former los angeles mayor richard riordan will consider if the terminator balks .",arnold schwarzenegger and former los angeles mayor richard riordan may jump in by the aug.  deadline to file .,0,False
147,but planning for an expansion of wagerup has been caught up in  heated debate about the existing project ' effect on local residents .,but plans to expand wagerup had been caught up in  heated debate about the existing pro-ject ' impact on the amenity of local residents .,1,plans to expand wager
148,"peoplesoft management could choose to activate an anti-takeover defense known as   poison pill ,  designed to thwart undesired suitors .","peoplesoft is equipped with an anti-takeover defence , known as   poison pill ,  designed to thwart undesired suitors .",1,True
149,"in connection with the incident ,  have acknowledged that  behaved inappropriately . ","  have acknowledged that  behaved inappropriately ,  he said .",1,True
150,hotly contested legislation that would change the state ' takeover law and help  michigan-based development company fend off  takeover cleared the state senate on thursday .,legislation that would change state takeover law and help bloomfield hills-based taubman centers inc. fend off  $ -billion takeover won committee approval tuesday .,1,hotly contested
151,the new york mets then selected outfielder lastings milledge from lakewood ranch high school in florida .,"the mets took lastings milledge , an outfielder from florida , with the 12th pick .",1,True
152,the respected medical journal lancet has called for  complete ban on tobacco in the united kingdom .," leading .. medical journal called friday for  complete ban on tobacco , prompting outrage from smokers ' groups .",0,False
153,"michael hill ,  sun reporter who is  member of the washington-baltimore newspaper guild ' bargaining committee , estimated meetings to last late sunday ."," we hope it ' symbolic ,  said michael hill ,  sun reporter and member of the guild ' bargaining committee .",0,washington-bal
154,coca-cola said it expected its write-down to cut  quarter of  penny per share from second-quarter earnings .,"the write-down will cut  quarter of  penny per share from second-quarter earnings , according to coca-cola .",1,True
155,the defense department statement said legal access for hamdi was not required by domestic or international law and  should not be treated as precedent . ,the pentagon statement said that allowing hamdi access to  lawyer  is not required by domestic or international law and should not be treated as  precedent . ,1,False
156,"clijsters was simply too complete and powerful for the spanish veteran conchita martínez in her quarterfinal , winning , - , - .","clijsters was simply too powerful for spanish veteran conchita martinez , winning - , - .",1,False
157,"city councilman cedric wilson said those killed were cpl. james crump , officer arnold strickland and dispatcher ace mealer .","fayette city councilman cedric wilson identified the dead as cpl. james crump , officer arnold strickland and dispatcher ace mealer .",1,True
158,"but , to the dismay of reaganites , there is no mention of the reagan-era economic boom .",but there is no mention of the economic recovery or the creation of wealth during his administration .,0,False
159,the interview came  day after  report in the british press that he had been taken into custody .,the interview thursday came  day after britain ' daily mirror reported sahhaf had been taken into custody .,1,sah
160,lay had argued that handing over the documents would be  violation of his fifth amendment rights against self-incrimination .,"lay had refused to turn over the papers , asserting his fifth amendment right against self-incrimination .",1,False
161,  don ' know whether that means two years or four years .," whether that means two years or four years ,  don ' know . ",1,True
162,walker said he expects that the president ' budget will include  request for three percent to five percent budget increases for nasa for each of the next five years .,walker said he expects that the president ’  budget will include  request for  to  percent budget increases for nasa for each of the next five years .,1,walker said
163,"shares in ba were down . percent at 168 pence by 1420 gmt , off  low of 164p , in  slightly stronger overall london market .","shares in ba were down three percent at 165- /  pence by 0933 gmt , off  low of 164 pence , in  stronger market .",1,False
164,"amnesty international has said that over the past 20 years it has collected information about 17,000 disappearances in iraq but the actual figure may be much higher .","amnesty international said that over the past 20 years it had collected information about 17,000 disappearances in iraq .",0,True
165,both have said they are willing to take the slim chance of success for the opportunity to lead separate lives .,twenty-nine-year-old iranian sisters ladan and laleh bijani are willing to accept the slim chance of success just for an opportunity to lead separate lives .,1,True
